commune_id,epoca_di_fondazione,secolo_di_fondazione,anno_di_fondazione,etimologia_del_nome,storia
10,Medievale,XI,1087.0,"biṡàccia (ant. o region. biṡacca) s. f. [lat. tardo bisaccium «doppio sacco», comp. di bi- e saccus «sacco»] (pl. -ce). – 1. Grossa sacca di pelle o stoffa da portarsi ad armacollo o a cavallo con il necessario per il viaggio; è portata anche dai frati da cerca: venne avanti un laico cercatore cappuccino, con la sua b. pendente alla spalla sinistra (Manzoni). 2. Antica unità di misura di capacità degli aridi, di valore vario (nel Bergamasco: 512,05 l; in Sicilia: 68,77 l = 1/4 della salma). In Sicilia, era anche unità di misura di superficie, pari a 43,65 are (1/4 della salma, unità di superficie). 3. Curva algebrica, di equazione cartesiana (x2 - by)2 = a2 (x2 - y2), che rientra nella classe delle «curve a otto»; è cosi chiamata perché formata da due cappi che hanno in comune l’origine. Dim. biṡaccétta, biṡaccina, e ant. biṡacci(u)òlo m.","Il luogo dove sorge adesso Bisaccia era abitato fin dall'età del bronzo. Sulla collina del cimitero vecchio, recenti scavi hanno messo in luce tracce di capanne databili al periodo del bronzo medio (circa 1400 a.C.). Su di esse si sono sovrapposte le case del periodo arcaico (VI-V secolo a.C.) a loro volta ricoperte dall'abitato del IV."
11,Medievale,X,,"Trae origine dal nome di persona latino Bonitus o Boneto che deriva a sua volta da Bonetum oppure da bonnet, sostantivo che identifica un copricapo normanno.","In età romana faceva parte dei territori dell'antica Aeclanum, dai cui coloni veniva intensamente coltivata. Le prime notizie relative all'esistenza di un centro abitato risalgono al X secolo, quando venne edificato dai longobardi il Castrum Boneti, a scopo difensivo, nella zona di confine tra la contea di Ariano e il ducato di Benevento. Passata ai normanni nel secolo successivo, fu soggetta, in epoca angioina, alla famiglia locale dei Bonito; acquistata nel 1445 dagli Orsini, fu venduta nel 1648 ai Pisaniello: una leggenda narra che un componente di questa famiglia, durante la rivolta anti-spagnola di Masaniello del 1647, venne decapitato per aver rapito e tenuto prigioniera nel suo castello una fanciulla del luogo."
12,Medievale,XI,1096.0,Deriva dal nome di persona latino Carius a cui si aggiunge il suffisso -anus che indica appartenenza.,"Il territorio di Cairano venne frequentato ed abitato sin dall'Età del ferro, come confermarono i ritrovamenti archeologici, frutto di diverse campagne di scavo, che individuarono un insediamento ed una necropoli con tombe a fossa.I reperti archeologici sono custoditi presso il Museo Irpino di Avellino. Si tratta di reperti unici, tanto che gli studiosi coniarono la denominazione di ""Cultura di Cairano ed Oliveto Citra"". Tali reperti archeologici, dalla raffinata lavorazione, dimostrano che in Irpinia, tra il IX ed il VII secolo A.C., vivevano popolazioni che avevano raggiunto un elevato livello di sviluppo, tanto da lavorare abilmente i metalli.Nelle tombe a fossa vennero rinvenute delle spille (fibulae) ad occhiali o munite di arco a staffa, elmi di bronzo, vasi di terracotta, coltelli ricurvi, rasoi.All'età romana risalgono dei reperti rinvenuti nelle località Rasale, Ischia della Corte ed a valle del paese.La prima citazione del borgo medioevale risale al 1096, quando era definito ""Castellum Carissanum"". Tale Castello, eretto al tempo dei Longobardi nel punto più alto della collina, venne totalmente ricostruito in epoca normanna, quando feudatari erano i Balvano (o Balbano).Durante il Medioevo, funse da fortificazione di Conza, per la sua strategica posizione panoramica. Successivi feudatari furono i Del Balzo, i Gesualdo, i Ludovisi, i Cimadoro (verso la metà del XVII secolo, con presumibile trasformazione della struttura difensiva distrutta nel Medioevo in residenza gentilizia) ed i Garofalo.Cairano diede i natali al musicista Carlo Di Marzio, al giurista Michele De Stefano, allo storico sacerdote Sabino Amato ed a Eugenio Malossi, inventore del ""Regolo Malossi"", utilizzato per l'educazione di ciechi e sordi."
13,Medievale,XIII,1229.0,"l nome ""Calabritto"" deriverebbe dal latino ""Kalabrix"", una pianta spinosa simile al biancospino[4].Secondo una leggenda popolare locale il nome sarebbe dovuto alla presenza, in epoca medioevale, di una bella locandiera di facili costumi di nome Britta, che, per la sua bellezza, veniva acclamata dai commensali al coro di ""Cala Britta"".[5] Secondo altri invece il nome Kalavrix mette in relazione il nome del paese con un'antica città greca, Kalavryta","Il primo nucleo abitato di Calabritto risale alle contrade Castruzzo e Piedelmonte (Pedemontis), dove gli abitanti si rifugiarono per respingere gli assalti dei Saraceni lungo la valle del Sele.L’attuale centro abitato è’ di origine presumibilmente longobarda. Il paese acquista una certa importanza in epoca tardomedioevale (durante la dominazione angioina, aragonese); successivamente, divenuto feudo degli Estouteville (italianizzato in Tuttavilla), famiglia patrizia di Napoli, acquisisce il titolo di Ducato"
14,Neolitica,,,"Il toponimo è di origine incerta. Secondo una prima ipotesi il nome deriverebbe da un'antica radice mediterranea gal avente il significato di ""roccaforte""; altri lo ricollegano invece al ligure Caletranus Ager attestato nel lontano territorio di Luni (la folta presenza di Liguri in Irpinia è infatti documentata fin dal 180 a.C.). Secondo un'altra linea di pensiero il toponimo deriverebbe piuttosto dall'antico nome prelatino (galatro) di una pianta assai comune in zona, l'avena selvatica.","Le prime tracce della presenza umana nel territorio di Calitri risalgono al Neolitico, cui appartengono alcuni utensili in selce levigata conservati presso il museo irpino di Avellino.  Nel periodo medioevale, Calitri è uno dei tanti centri sottoposti all'amministrazione longobarda prima e normanna e sveva poi. Durante la dominazione normanna, il feudo di Calitri venne affidato ai Balvano, mentre sotto il regno di Federico II di Svevia appartenne al regio demanio. Nel 1304 Calitri passò ai Gesualdo, principi di Venosa che ne ebbero il possesso per tre secoli per poi cederlo alla famiglia Mirelli. Durante il terremoto dell'8 settembre 1694 il castello di Calitri fu completamente distrutto e morì il principe Mirelli. I superstiti della famiglia Mirelli optarono per l'abbandono dei ruderi in cima alla collina ricostruendo il palazzo baronale più a valle. Dopo l'unità d'Italia la storia di Calitri si confonde con quella di tanti altri centri dell'Italia meridionale: brigantaggio, emigrazione, latifondismo baronale, lotte per la spartizione della terra. Nel 1861 fu conquistata e liberata dagli uomini del brigante lucano Carmine Crocco, assieme ad Aquilonia, Conza della Campania e Sant'Andrea di Conza. Nel giugno 1910 e nel luglio 1930 dei sismi di notevole magnitudo colpirono Calitri. Nel 1943 arrivarono le truppe tedesche che distrussero molti ponti tra cui quello sull'Ofanto. L'8 settembre, giorno in cui si celebra la natività della Beata Vergine Maria (giorno di festa per i calitrani), una radio annunciò che l'Italia aveva chiesto l'armistizio. La mattina del 29 settembre dello stesso anno, dei facinorosi si rivoltarono e malmenarono l'allora sindaco conte Salvatore Zampaglione e l'ex podestà, saccheggiarono lo stesso palazzo e uccisero alcuni componenti della famiglia Ricciardi. Nel secondo dopoguerra ai vertici nazionali c'era la Democrazia Cristiana, tra cui spiccò il calitrano Salvatore Scoca che fu più volte ministro; Calitri risentì con lieve ritardo anche del boom economico: in quegli anni  divenne il più importante centro dell'alta Irpinia grazie al potere attirante dei suoi istituti. Il sisma del 1980 provocò due decessi e l'inagibilità per molti anni di gran parte del centro storico."
15,Medievale,XI,1045.0,"Il toponimo del paese è di origine classica indicando le candide e biancheggianti rocce su cui è insediata la parte più antica dell'abitato. Un'altra ipotesi, invece, fa riferimento alle denominazioni che prendevano le villae romane, isprirandosi alle caratteristiche dell'ambiente su cui insistevano.","Fino al IX secolo d.C. non ci sono documenti che attestano l'esistenza del borgo di Candida, ma dai numerosi ritrovamenti di terracotta e di ceramica antica nelle zone che degradano verso il vallo che separa il territorio di Candida da quello di Montefalcione, si può facilmente presumere che vi fossero insediamenti di famiglie dedite alla pastorizia e alla coltivazione di quelle terre, sfruttando le acque del torrentello e i boschi circostanti che facevano parte del nemus Corilianum, cosiddetto per la prevalenza del noccioleto selvatico. I rinvenimenti lasciano pensare che non vi fosse alcuna costruzione in laterizio, visto che gli oggetti, tuttora visibili in quelle terre, riguardano esclusivamente tegole e cocci in ceramica d'uso domestico. Un saggio di scavo in un insediamento pre-romano individuato in località Cesine fu ritrovata una bella patera del IV secolo a.C."
16,Antica,,,"Il toponimo Caposele deriverebbe da caput Sylaris, ovvero ""capo (o inizio) del Sele"", data l'ubicazione del paese nei pressi delle sorgenti del fiume.","Le prime notizie di un feudo (e di un probabile castello) risalgono al periodo normanno, probabilmente al 1160, quando Filippo di Balvano ne divenne il proprietario, e da qui inviò alcuni militi alla spedizione in Terra santa per la conquista di Gerusalemme. Nel corso dei secoli, il territorio passò nelle mani degli Svevi e degli Angioini. Sotto gli Aragonesi, una parte del territorio venne data a Jacopo Sannazzaro. Successivamente il paese ottenne il titolo di universitas, una sorta di comune autonomo in grado di eleggere liberamente un sindaco per alzata di mano dei suoi abitanti e di amministrare la giustizia. Grande privilegio dato ai sudditi, che, nel frattempo, scelsero anche un santo patrono, san Lorenzo, per la chiesa madre ed uno stemma per il proprio comune. Nel XVII secolo il territorio di Caposele passò ai Ludovisio, che l'acquistarono e rivendettero più di una volta. Tutto ciò li costrinse spesso a lasciare il castello. Fu così che comunità religiose e confraternite occuparono l'intera zona, le chiese aumentarono di numero e famiglie di origine diversa si affiancarono sempre più ai casali intorno alla chiesa e alle proprietà private. La peste del 1656 decimò la popolazione del paese e un'altra triste calamità che si abbatté sul paese fu il terremoto del 1694 che pure provocò numerose vittime. Nel 1714 fu nominato principe della Terra di Caposele Inigo Rota. Nel 1771 il territorio passò nelle mani di Carlo Lagni, marito di Ippolita Rota, figlia di Inigo, dalla quale lo ottenne per via matrimoniale Carlo Lagni, ultimo signore del luogo sino all'abolizione dei diritti feudali (1806)."
17,Antica,IV,,"Anticamente chiamato Caprilio o Caprilia, che è il neutro plurale del nome latino Caprile (ossia stallo, pascolo). Per distinguere il nome del comune dagli altri omonimi è stato successivamente aggiunto il termine ""Irpina"".","Fu feudo di alcune potenti famiglie del Regno di Napoli, i Carafa, i Caracciolo principi di Avellino e gli Schipani. Questi ultimi, nel 1738, la cedettero al marchese di Arneto, Gaetano Amoretti, che morì senza figli maschi e per questo il paese venne acquisito nel 1780, per circa 42000 ducati, da Nicola Macedonio, dei duchi di Grottolella, marchesi di Ruggiano, Oliveto e Tortora, baroni di Poligori in Calabria, che ne ebbe la signoria col titolo di marchese e alla cui famiglia appartenne fino all'abolizione dei diritti feudali, nel 1806."
18,Antica,V,,"La sua etimologia non è chiara, forse è collegato con Carifi (Casale di Sanseverino vicino Salerno).","In epoca pre-romana il territorio era abitato da popolazioni sannitiche, come attestato dai numerosi reperti rinvenuti nella locale area archeologica, una delle più importanti dell'Irpinia. In epoca moderna il comune fu danneggiato gravemente da diversi eventi sismici e specialmente dal terremoto dell'Irpinia del 1732. Nell'Ottocento il comune fece parte del circondario di Castelbaronia ricadente nel distretto di Ariano nell'ambito del principato Ultra all'interno del regno delle Due Sicilie. In epoca postunitaria Carife fu parte del mandamento di Castelbaronia nell'ambito del circondario di Ariano di Puglia all'interno della provincia di Avellino."
19,Antica,,,"Deriva dall'associazione di ""Casale"" con il nome di persona ""Albulus"" o ""Albolus"" che poi è diventato ""Arburus"" con accostamento al termine ""arbore"". Quindi potrebbbe significare ""Casale degli alberi""","Non conosciamo il suo antico nome ma, grazie ai rinvenimenti archeologici, sappiamo che sin dall'antichità il suo territorio è stato frequentato da varie popolazioni, ma probabilmente perché era attraversato da un'antica strada denominata Regio Tratturo Pescasseroli - Candela, tracciato viario che permetteva collegamenti con la Puglia. In età preromana il suo abitato era costituito da fattorie sparse. Di particolare rilievo è stato il rinvenimento di una necropoli di tombe a tumulo databili tra metà del VI sec. a.C. e la prima metà di quello successivo.Tali tumuli, che contengono più inumazioni pertinenti allo stesso nucleo familiare, hanno diametri che vanno da 5 a 12 metri, sono alti m. 2,50 e hanno una struttura in pietrame. I defunti sono in posizione supina; le deposizioni maschili sono spesso caratterizzate dalla presenza di armi di offesa, mentre le fibule fanno parte del costume femminile. Tra i vasi di corredo è caratteristico il Kantharos con anse ed orecchini. In località Macchia Porcara è stata individuata un'importante area sacra databile per una prima fase al V sec. a.C. Dopo la metà del III sec. a.C. il complesso è stato ristrutturato ma i lavori sono stati interrotti nel 217 a.C. a causa degli aspri scontri della seconda guerra punica. Il tempio era preceduto da un'area scoperta con l'altare, fiancheggiata da portici. In pianta l'edificio templare era costituito da un vestibolo con sei colonne, precedute da tre gradoni, e da una cella. I pavimenti erano in cocciopesto con tessere in pietra calcarea che creavano motivi a losanghe. Le pareti erano stuccate e all'interno la decorazione era costituita da false bugne in rosso e in giallo che terminavano con una cornice a dentelli. In età romana Casalbore faceva parte del territorio di Benevento . Anche in quest'epoca l'insediamento aveva un carattere sparso. Interessante è un monumento funerario del III sec. d.C. trasformato in una chiesa dedicata a Santa Maria dei Bossi, la cui utilizzazione è attestata fino al VII secolo d.C."
20,Antica,,,"Il toponimo risale all'età romana e deriva dal nome della “gens Cassia” e dal suffisso prediale –anus, indicante un praedium Cassianum, ossia un latifondo o una villa rustica appartenente a quella famiglia.","Sebbene sia stata ipotizzata la frequentazione del territorio di Cassano Irpino in epoca pre-romana, sin dal X secolo A.C., certa è la presenza umana in epoca romana. Gran parte di questo patrimonio oggi è custodito presso il Museo Irpino di Avellino. L'importanza di Cassano in tale epoca discendeva dal fatto che in tale zona passava la strada che collegava la Valle del Sabato con quella del Calore. La storia di Cassano fu strettamente avvinta a quella di Montella, di cui fu Casale. Nel Medioevo, in cima al colle che domina il paese, venne costruito un fortilizio facente parte del Gastaldato di Montella. Il legame storico ed amministrativo con Montella venne rescisso nel 1806, con l'abolizione dei diritti feudali. I moti carbonari videro l'adesione convinta di diversi Cassanesi."
21,Neolitica,,,"Il borgo attuale prese il nome da un castello normanno intorno al quale originariamente sorse l'insediamento e dal fatto che l'area fece parte della Baronia di Vico, di cui formò uno dei capisaldi difensivi e di cui ne seguì le vicende.","Il territorio di Castel Baronia risulta essere stato non solo frequentato, ma abitato stabilmente sin dal neolitico (III millennio A.C.), come confermano i ritrovamenti archeologici nella località Isca del Pero, dove sono venute alla luce molte tombe ""a fossa semplice"", con i defunti sepolti rannicchiati, con oggetti in ferro e vasi. Altri ritrovamenti archeologici, del VI-V secolo A.C., in località Serra di Marco (centinaia di tombe ""a camera"", ricche di corredi funebri, del VI-V secolo A.C), da un lato, confermano l'importanza strategica del sito al tempo degli Hirpini, dall'altro, confermano lo sviluppo di nuclei abitati fondati su un'economia agricolo-artigianale influenzata dalle più avanzate popolazioni adriatiche. Durante il Medioevo, il villaggio era situato in località Acquara, dove vi sono ricche sorgenti. Nel XIV secolo, precisamente nel 1350, il nucleo abitato fu distrutto su ordine del feudatario di S. Angelo dei Lombardi, dal terribile brigante Maritto. Il nuovo insediamento si sviluppò attorno al Santuario di S. Maria delle Fratte, dove si venera un dipinto bizantino che mostra la Madonna, che la tradizione vuole sia stato ritrovato da un pastore. I moti carbonari degli anni 1820-21 videro la partecipazione di diversi Castellesi, che vennero esiliati una volta che i Borboni repressero la rivolta."
22,Medievale,IX,,"Il toponimo, citato nel Catalogus Baronum (1150-1168), è un composto di CASTELLUM –diminutivo del sostantivo latino CASTRUM, ‘castello, fortezza’– e dell’aggettivo FRANCUS, ‘franco’.","Sorse probabilmente nel IX secolo d.C. come CASTRUM FRANCORUM, fortificazione eretta a guardia del ducato di Benevento dai franchi discesi in Italia al fianco di Ludovico II il Germanico. In epoca normanna fu amministrata da Guaimario Saraceno, signore di Montemarano; dopo essere stata governata da diversi signori locali, fu acquisita da Giovanni Virgato (1270), da Giovanni della Leonessa e dalla famiglia Della Marra. Colpita duramente dalla peste del 1348, rifiorì significativamente soltanto nel XVI secolo, durante la dominazione spagnola. Nel 1980 fu devastata dal violento terremoto che sconvolse tutta l’Irpinia."
23,Antica,,,"L'attuale nome del paese, ""castrum"" e ""vetus""=Castello-Vecchio, è esplicativo di come le abitazioni si siano sviluppate intorno all'antico castello, che fu edificato dai Longobardi e che dopo la ricostruzione è diventato la chiesa Madre di Castelvetere","L'origine del paese risale alle prime invasioni barbariche; le prime notizie ci pervengono da una donazione di Castelvetere al monastero di San Benedetto a Salerno, avvenuto nel 991; successivamente fu donato al Santuario di Montevergine (1167); passò poi in varie mani fino a essere venduto, nel 1684, a Giuseppe de Beaumont che divenne quindi barone di Castelvetere.Castelvetere è anche celebre per essere stato uno dei paesi precursori nell'edificazione dei cimiteri fuori del centro urbano, molto prima che lo imponesse l'Editto di Saint Cloud."
24,Medievale,IX,,"La leggenda vuole che il nome Cervinara derivi da un altare dedicato dai Romani a Cerere, dea delle messi","Il borgo, probabilmente, sorse tra il IX e il X secolo d.C., in età longobarda, quando le popolazioni si concentrarono, dalle campagne, intorno al borgo fortificato in località Castello. Cervinara ebbe numerosi feudatari. Dal Feudalesimo fino agli inizi dell'Ottocento Cervinara conobbe un forte sviluppo agricolo, soprattutto grazie alla particolare fertilità del suolo. Durante il Risorgimento il paese contribuì ai moti liberali del 1820 e del 1848, quando i carbonari decisero di partire proprio da Cervinara per marciare su Napoli ed instaurarvi la Repubblica. Ma i fermenti rivoluzionari non riuscirono mai a coinvolgere la maggioranza della popolazione, anzi, il paese si schierò dalla parte dei Borbone ed insorse contro il governo piemontese che giungeva nel Regno di Napoli per occuparlo. Ebbe, così, inizio il periodo del brigantaggio, che si configurò come una vera e propria guerra partigiana. Le bande di Cipriano e Giona La Gala, scelsero come rifugio i monti sovrastanti il paese per combattere contro l'invasore. A causa di intense piogge il 16 dicembre 1999 una frana fangosa si abbatté sulle frazioni di Ioffredo e Castello. Tale sciagura, nota come alluvione della Valle Caudina del 1999, causò cinque vittime e distrusse o danneggiò vari edifici."
25,Medievale,,,"l nome ""Cesinali"" sembra derivare dal germanico cesine, equivalente di ""selva cedua, terra dissodata per fare spazio all'insediamento urbano e all'agro coltivato"".","L'origine del centro sarebbe longobarda, e collegata allo sviluppo della più estesa Atripalda, con la quale Cesinali condivise per lungo tempo le vicende politiche e amministrative (entrambe le località furono rette da alcune delle più blasonate famiglie nobili del Sud Italia, quali, ad esempio, quelle dei Filangieri, dei Carafa e dei Caracciolo). Pure avendo acquisito, nel corso degli anni, una certa autonomia, il villaggio si vide accorpato, nel 1927, al limitrofo comune di Aiello del Sabato, per poi tornare indipendente nel 1950. Il comune di Cesinali ha anche una piccola frazione, Villa San Nicola, di circa 400 abitanti."
26,Medievale,XII,1138.0,Chianche o Chianca com'era detta nel Medioevo deriva dal latino Planca con probabile riferimento alle plancae (pietre poligonali con le quali i romani lastricavano le strade),"Di Chianche si ha traccia documentale almeno dal XIII secolo. Nel Medioevo era un casale dipendente da Montefusco. Il castello che domina il borgo risale forse al periodo normanno (XI secolo) anche se è citato per la prima volta solo in un documento degli inizi del XIV secolo. Chianche fu possesso feudale prima dei de Planca dal XV secolo al 1545, quando passò ai Crispano sino al 1552, poi agli Albertino (1552-1556, ai Pisanello (1556, ai Sanseverino (1558), ai Filomarino (1568), ai Capece, ai Bernalda, ai Caracciolo (1585), ai Manso (1599-1607) e ai de Guevara. Gli Zunica acquistarono il feudo da Beatrice de Guevara nel 1608 e lo tennero sino 1778 quando fu venduto ai marchesi Perelli nelle cui mani restò sino alla fine della feudalità nel 1806."
27,Medievale,XI,1020.0,"deriva dal nome latino di persona Clasius, a cui si aggiunge il suffisso -anus che indica appartenenza. L'aggiunta ""San Domenico"" è successiva e si riferisce non al patrono del paese","La frequentazione del territorio di Chiusano di San Domenico può farsi risalire almeno all'epoca romana, visto il ritrovamento di diversi reperti nella località Civitelle. Anzi, tali ritrovamenti, rappresentati da monete, terracotte e, soprattutto, tombe, fa supporre che a quel tempo già vi siano stati degli insediamenti stabili. Le origini del vero e proprio borgo vengono ricondotte al tempo della dominazione longobarda, e comunque sicuramente verso l'inizio dell'XI secolo, quando la popolazione si aggregò attorno al castello che faceva parte della Contea avellinese. Tra i Signori che amministrarono le rendite feudali si ricordano i Gesualdo, i Del Tufo, i Marchesi Tomacelli (o Tomacella), che vendettero il feudo a Tiberio Carafa, la cui famiglia poi cedette i diritti feudali ai Baroni Anastasio. Chiusano di San Domenico diede i natali nel 1887 al giornalista e scrittore Carlo Nazzaro."
