commune_id,percorso
32,Sul santuario di s. maria della misericordia e sulla chiesa s. nicola. vengono evidenziati gli elementi caratteristici di fontanarosa: la pietra
32,La fede ed il carro di paglia
32,Il grano
32,Il presepe
32,Le fontane. infine
32,Vengono mostrati gli edifici signorili
32,Il museo della pietra e della paglia
32,Ed una galleria di immagini
32,Che conclude il quadro complessivo relativo a questo borgo
32,Uno dei più belli dell'irpinia
33,La vicinanza al capoluogo e l'immersione nel verde rendono notevolmente attraente forino
33,Che dispone
33,In località piano saldo
33,A 700 metri s.l.m. a sei chilometri dal paese
33,Di una pineta attrezzata di sette ettari
33,Lungo la strada che da forino conduce a bracigliano (provincia di salerno). la strada è affiancata da fitto verde dei boschi di castagno. altre possibilità di effettuare passeggiate ossigenanti e rilassanti vengono offerte da altre oasi verdeggianti che rientrano nel territorio comunale di forino
33,In cui non mancano delle sorgenti d'acqua. ad esempio
33,Partendo dalla frazione petruro
33,Si raggiungono rapidamente i 941 metri s.l.m
33,Dove si trova la grotta dell'arcangelo michele ricavata nella roccia dai longobardi per celebrare la vittoria sui bizantini della piana di forino dell'8 maggio 667. dall'alto del monte falieso il verde panorama è incantevole
34,
35,
36,
37,
38,Bosco della terra
39,Valvano
39,Di leo
39,Monte cerreto
40,Lacedonia offre al visitatore la possibilità di effettuare piacevoli
40,Rilassanti ed ossigentanti passeggiate a contatto con la natura ancora incontaminata
40,Con la possibilità di ammirare diversi corsi d'acqua (torrenti osento
40,Vallone isca
40,Fiume ofanto
40,Torrente calaggio) e persino un bacino lacustre artificiale (lago di san pietro)
41,Sentiero dei monti
41,Sentiero dei tedeschi sentiero quattro fontane
42,Oasi wwf montagna
42,Piano di lauro e parco regionale partenio
43,Oasi wwf
43,Cascate di lioni
44,Percorso partenio
45,Contrada piano
46,
47,Via creta contrada san tommaso
47,Via strada statale 90
47,Via contrada creta acquasalza
48,Via strada provinciale 70
48,Via strada provinciale ex strada statale
49,Via strada provinciale 271
49,Via contrada san vincenzo
49,Via strada provinciale 106
50,Via strada provinciale 121
50,Via strada comunale
51,Via strada provinciale 148
51,Via strada provinciale 30 ra9
52,Buonalbergo
52,Torre le nocelle
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,Trekking
65,Trekking
65,Mountain bike
66,Mountain bike
67,Mountain bike
68,Mountain bike
69,
70,Cammino di sant'elena
70,Percorso ciclabile di pietradefusi
71,Visite guidate al castello di pietrastornina e al museo romano di pietrastornina
72,Visite guidate alla torre civica e al palazzo baronale. cammino naturalistico nei pressi del mulino vecchio
73,Visita guidata nel castello di pratola serra. giro turistico ed enogastonomico del territorio
74,Percorso ponte acquaserta
74,Trekking
74,Mountain bike
75,Trekking
75,Mountain bike
76,Trekking
76,Mountain bike
77,Trekking
78,Mountain bike
78,Trekking
78,Percorsi in moto e auto
79,
80,Mountain bike
80,Trekking
80,Percorso in auto
81,Percorso lungo il torrente caudino
82,Sentiero italia
83,Percorso apice vecchio
84,
85,
86,0
87,0
88,
89,
90,Trekking
91,
92,
93,
94,
95,
96,Tornola
96,Antica sabatia
96,Vallone di girasole
96,Abbazia del s.s salavatore
97,
98,Il centro storico e le frazioni
98,I luoghi della concia
98,Percorso archeologico
98,Percorso panoramico
99,Non sono presenti percorsi
100,Non sono presenti percorsi
101,Non sono presenti percorsi
102,Campo san giovanni
103,Madonna dell'arco freconia pizzone
104,Taurasi trekking tour
105,Non sono presenti percorsi
106,
107,
108,Torrioni di monrupino
109,Bosco dell'impero
109,Parco rita
110,
111,Non sono presenti percorsi
112,
113,
114,
115,
116,Piana del dragone
117,Pellegrinaggio a san gerardo
