commune_id,epoca_di_fondazione,secolo_di_fondazione,anno_di_fondazione,etimologia_del_nome,storia
10,Moderna,XVII,1600.0,"Il nome deriva forse da un nome di persona Atrani, oppure dall'etrusco atru (nero), forse in riferimento alla posizione geografica, costruita in luoghi ""rientranti"", oscuri.","Le origini di Atrani sono ancora oggi sconosciute. Ricerche archeologiche hanno stabilito che nel I secolo d.C. lungo la Costa d'Amalfi esistevano delle ville romane, le quali furono, però, coperte dal materiale che, eruttato dal Vesuvio nel 79 d.C."
11,Medievale,XI,1131.0,"Il nome deriva dalla sua struttura urbanistica che è simile ad un'aula. Altri credono che derivi da ""aia"" quindi un cortile piccolo.","Secondo la leggenda di Auleto, compagno di Enea che, dopo il naufragio e il riposo a Palinuro si inoltra per i luoghi interni della nostra Regione e perviene sulla sponda sinistra del Tanagro e in località "" Tempa di Donna Rosa"" dà luogo al primo insediamento urbano"
12,Moderna,XIX,1810.0,Il nome proviene da una baronia locale,La costituzione del comune di Baronissi situato al centro della v alle dell' Irno si deve a 2 personaggi importanti: Giuseppe Bonaparte e Gioacchino Murat. Il primo abolì il sistema feudale mentre il secondo il 26 Gennaio del 1810 proclamò il vero e proprio comune di Baronissi
13,Moderna,XIX,1858.0,"Il nome deriva dall'antica usanza dei contadini di ""battere"" la paglia in un cortile pubblico",In antichità era compresa nei territori della magna Grecia. Numerosi scavi hanno portato numerosi reperti risalienti al III secolo A.C. appartenenti a 2 intere ville.
14,Contemporanea,XX,1990.0,Il nome deriva da un cognome molto diffuso nel sud Italia oppure al bell' aspetto del colle su cui sorge il sole,La città in questione apparteneva al regno di Ferdinando IV di Borbone e sorgeva nei pressi di Montecorvino Rovella
15,Greca,IV,338.0,Il nome deriva dal fatto che da questo paese si possa osservare un magnifico panorama,"Le origini di questa città vanno collegate a quelle della città di Fasanella, un antico borgo che sorgeva in località Santo Manfredi e che fu distrutto da Federico II di Svevia"
16,Moderna,XIX,1890.0,"Il nome deriva dal latino e vuol dire ""possesso""","La storia di questo paese risale agli etruschi dei quali sono stati ritrovati numerosi reperti. Il paese in antichità era abitato da pastori e agricoltori ,le prime testimonianze cristiane si riallacciano a quelle della popolazione dell' agro Nocerino sarnese intorno ai primi anni dopo Cristo."
17,Contemporanea,XX,1928.0,Il nome deriva dall' antica città su cui oggi sorge l'attuale buccino,Il luogo per via della sua vicinanza con Paestum è frequentata ogni anno da milioni di turisti e i  suoi materiali risalgono fino all' età del neolitico.
18,Medievale,XIV,1333.0,Il nome deriva dalla condizione salubre del luogo,La città venne fondata da Guglielmo Sanseverino. La fondazione fu concessa a 3 architetti disposti a stabilire per se la dimora nella terra concessagli
19,Romana,IV,393.0,"Il nome deriva dal latino, più precisamente dal comunissimo praenomen Caius","Nell' VIII-VII secolo A.C. L'area inizia a far parte delle colonie greche sulla costa. Nel territorio sono stati rivenuti resti preistorici, in particolare nelle grotte di Zachito ai piedi del  monte dove si trova il paese ."
20,Contemporanea,XIX,1829.0,Deriva dal nome latino di persona Calva con l'aggiunta del suffisso aggettivale -anicus.,"Calvanico fu una frazione di Fisciano fino al 1829. Nel Medioevo, una leggenda, narra, che, sul Pizzo San Michele, apparse l'omonimo arcangelo, e venne eretta una chiesa in suo onore, inoltre ci sono stati molti ritrovamenti nella città risalenti ad epoche preistoriche e romane."
21,Greca,,,"Secondo una leggenda deriva il suo nome da quello di Kamaraton, la più bella fanciulla che viaggiava a bordo della nave di Enea, dopo la fuga da Troia in fiamme","Pare che Camerota sia stata fondata dai Focei, la stessa popolazione greca che fondò la città di Elea - Velia."
22,Moderna,XVI,1518.0,"Deriva dal latino campania (campo), essendo in periodo romano terra agricola.","La storia di Campania inizia nel IV a.C. secolo con le prime conquistazioni dei popoli autoctoni, poi dai greci nel VI secolo, non si hanno tracce che confermano l'insediamento romano, solo dal medioevo nel XI la città viene battezzata col nome Campania e nel 1518 Papa Leone X concesse il titolo di ""città""."
23,Medievale,XII,1131.0,"Il nome Campora deriverebbe dal latino campus, nella duplice accezione di ""luogo piano"" e di ""superficie agraria"".","Le prime notizie di un feudo e un probabile castello risalgono al periodo normanno (1077-1194), probabilmente al 1170, quando Turgisio de Campora, ciambellano di Terra di Lavoro[4], ne divenne il proprietario. Dal 1811 al 1860 ha fatto parte del circondario di Gioi, appartenente al Distretto di Vallo del Regno delle Due Sicilie. Nell'immediato periodo postunitario (1862-1863) numerosi cittadini, capeggiati dall'avvocato Giuseppe Tardio, si riunirono in banda armata per contrastare le attività degli invasori piemontesi. Dal 1860 al 1927, durante il Regno d'Italia ha fatto parte del mandamento di Gioi, appartenente al Circondario di Vallo della Lucania."
24,Medievale,XI,,"Origini del nome. Cannalonga è tagliata in due dal Torrente Mennonia, nel quale pare in passato vi fosse una forte presenza di canne. Secondo alcune fonti, questo tipo di vegetazione, ha dato origine al nome del paese.","Probabilmente fondata dagli abitanti di Civitella intorno al IX-X secolo, la tradizione attribuisce a Cannalonga il nome originario di Tolve dal latino terra ulvae o terra dell'ulva, pianta palustre che evidentemente coesisteva ai canneti cui fa riferimento il nome attuale del paese."
25,Medievale,X,919.0,"Il nome del luogo, originariamente Calpatium o ""caput aquis"" su cui sorge in tempi moderni Capaccio Vecchia, nei pressi del santuario della Madonna del Granato, prende origine dal latino Caput Aquae (origine dell'acqua).","Storia. Il nome del luogo, originariamente Calpatium o ""caput aquis"" su cui sorge in tempi moderni Capaccio Vecchia, nei pressi del santuario della Madonna del Granato, prende origine dal latino Caput Aquae (origine dell'acqua). La Capaccio moderna viene menzionata per la prima volta in documento del 1051."
26,Moderna,XIX,1893.0,"Il toponimo attuale deriva dal latino “casalis litus”, ossia casale del porto. Il paese è appartenuto alla circoscrizione della Badia di Cava de'Tirreni dal 1410 al 1973, per passare a quella di Vallo della Lucania.",Il suo antico nome è stato Casalicchio fino al 1893. Le prime notizie storiche circa la sua fondazione risalgono intorno all'anno Mille. I primi abitanti furono monaci basiliani e si stanziarono nell'odierna frazione Marina.
27,Medievale,X,915.0,,"Casalbuono è l'ultimo comune del comprensorio del Vallo di Diano. Il villaggio fu fondato dai profughi del centro romano di Caesariana a Montesano, messa a sacco dai Saraceni nel 915. La storia di Casalbuono è legata anche al passaggio di Carlo Pisacane e dei Trecento."
28,Medievale,XII,1117.0,"Di origine medioevale il paese, secondo una leggenda locale, si sviluppò intorno all'antica contrada ""Spartoso"", da cui potrebbe derivare il nome Spartano. ... Il toponimo ""Casaletto"" deriva, come si può facilmente dedurre, da ""casale","Il sindaco però, volutamente o per scarsità di mezzi, non provvide a soddisfare le richieste del generale che, giunto in paese e sospettando il sindaco di essere in combutta con i briganti filoborbonici, lo fece fucilare nel luogo detto ""alle pietre del Campo"", ordinando la riunificazione dei comuni di Casaletto e Battaglia e imponendo al sindaco di Battaglia di trasferirsi a Casaletto, che fu eletto a capoluogo. Il termine ""Spartano"" fu aggiunto a ""Casaletto"" solo dopo l'unità d'Italia. Esso deriva da ""sparto"", una pianta delle aree mediterranee, presente quasi ovunque nel territorio casalettano."
29,Romana,VII,,"l primo termine, ossia Caselle deriva dal latino tardo casella che significa piccole case. La specifica ""in Pittari"" fa riferimento al monte su cui sorge il paese. La parola Pittari nello specifico deriva da ""pietra"" che in dialetto locale si dice pitere.","Un primo abitato indigeno, di notevole funzione strategica, risalente al VII-VI a.C sorse, pare, sul monte San Michele, a Sud dell’odierna Caselle, a guardia della carovaniera –antica via del sale- che, in epoca arcaica, si snodava lungo il corso del Bussento e univa il Vallo di Diano con il Golfo di Policastro. Testimonianza probante di questo insediamento sarebbero molti frammenti di tegole e di vasi di epoca ellenistica e di alcuni nuraghi in miniatura che sorgono sulla sommità del monte, tumuli di pietra grezza in cui forse si seppellivano i defunti in posizione rannicchiata"
30,Medievale,,,"La storia del paese ci racconta che i romani costruirono in zona un castrum, ossia una fortificazione, un castello. All'interno delle mura i longobardi vi costruirono una chiesetta in onore di San Giorgio che fu identificato anche come loro santo protettore. Da qui il nome di Castel San Giorgio","Prima dell'Unità d'Italia si chiamava San Giorgio, e con decreto prefettizio del 4 gennaio 1863 fu aggiunto Castel. L'attuale territorio comunale era anticamente parte integrante della città di Nuceria Alfaterna. Nella sua antichissima unità territoriale ha visto, nel corso dei secoli momenti di grandissimo interesse storico e sociale. Il territorio si impone all'attenzione della storia perché è stato percorso da vicende belliche che partono dalle imprese di Annibale in Campania"
31,Medievale,XII,1144.0,"Il paese nacque probabilmente nel periodo longobardo, quando un certo numero di persone si rifugiarono in quelle zone. La specifica di ""San Lorenzo"" è legata alla presenza in zona di una chiesa dedicata al Santo.","Le origini di Castel San Lorenzo risalgono al 1144 quando il primo nucleo urbano si formò intorno al monastero di S. Lorenzo de Strictu. Quest'edificio sarebbe stato fondato da Guaimaro III, conte di Capaccio, poco prima di scegliere la vita spirituale e di ritirarsi nella Badia di Cava intorno al 1137."
32,Moderna,XIX,1889.0,"Fa parte del Parco del Cilento e Vallo di Diano. Fino al 1863 fu chiamato Castelluccio, il nuovo nome è composto dalle parole castello e civitas, (città) quest'ultima si riferisce alla comunità degli abitanti.","I primi insediamenti nell'area di Castelcivita risalgono all'epoca preistorica. Come testimoniato dagli scavi archeologici che hanno avuto luogo presso le Grotte di Castelcivita, l'arrivo dei primi uomini moderni (Homo sapiens) ha lasciato importanti tracce, oggi custodite nei primi metri della cavità. Tuttavia, è a partire da tempi successivi che quest'area crebbe e sviluppò la sua storia."
33,Moderna,XIX,1861.0,"Dopo la sua morte, la fortezza fu intitolata dalla popolazione locale al suo ideatore, dando origine al nome del borgo secondo questa linea etimologica: Castrum abbatis &gt; ""Castello de lo abbate"" &gt; ""Castello dell'abbate"" &gt; ""Castellabate","L'area del comune di Castellabate fu abitata dai longobardi prima e dai normanni poi. ... Sotto la valida protezione della fortezza e grazie al porto, gli abitanti dell'area poterono prosperare al punto da far diventare Castellabate la più ricca baronia del Cilento."
34,Moderna,XIX,1861.0,"Secondo alcuni il nome del paese deriva dal latino castrum novum, ossia castello nuovo (dove si rifugiavano gli abitanti di un borgo per scampare alla malaria).",
35,Medievale,XII,1158.0,"Probabilmente deriva dal latino castrum novum o castellum novum, ossia castello nuovo e la sua origine è probabilmente legata a ""Castelnuovo Cilento"", infatti per distinguerlo da questo paese, gli fu assegnata la specifica di ""Conza""","Il territorio di Castelnuovo di Conza era già abitato tra il V e il III secolo a.C., come dimostrano i ritrovamenti archeologici di alcuni siti sannitici sottoposti a saggi di scavo da parte del professor Werner Johannowsky della Soprintendenza di Salerno e non ancora portati completamente alla luce.Fu proprietà di don Francesco Gesualdo, che poi vendette a Stefano Di Conza, e poi a Fabio Bavosa della terra di Pescopagano, suo vassallo. La presenza di un castello è una probabile ricostruzione di una precedente struttura longobarda posta a guardia della valle e del confine con i territori bizantini.Nella Cronista Conzana (1689-1691) si parla ancora della sua ""forte torre"".Dal 1811 al 1860 ha fatto parte del circondario di Laviano, appartenente al distretto di Campagna del regno delle Due Sicilie.Dal 1860 al 1927, durante il regno d'Italia ha fatto parte del mandamento di Laviano, appartenente al circondario di Campagna"
36,Moderna,XVIII,1713.0,"Il nome Castiglione si lega alle funzioni di difesa a cui assolveva la zona, dotata di un castello. La specifica 'del Genovesi' e' in onore del famoso filosofo ed economista Antonio Genovesi.","Come la maggior parte dei paesi della zona dei Picentini, Castiglione deve le sue origini alla distruzione di Picentia intorno all'anno 88 a.C. ad opera dei Romani, che provocò la dispersione dei suoi abitanti nei territori circostanti. I vari centri che si crearono divennero, nel corso del medioevo, distretti amministrativi detti gastaldati, prima di divenire, sotto il dominio normanno, contee e baronie. Il paese trae la sua attuale denominazione dal nome del filosofo ed economista Antonio Genovesi, che qui ebbe i suoi natali nel 1713. Dal 1811 al 1860 ha fatto parte del circondario di San Cipriano, appartenente al Distretto di Salerno del Regno delle Due Sicilie.Fino al 1862 era denominato Castiglione[3]. Il nome venne mutato a seguito del Regio Decreto n. 935 del 1862.Dal 1860 al 1927, durante il Regno d'Italia, ha fatto parte del mandamento di San Cipriano, appartenente al Circondario di Salerno"
37,Medievale,XIV,1394.0,"Controverso è il significato del nome di Cava: secondo alcuni deriva dal primo insediamento nella ""cava"" del Monte Finestra ossia nella grotta ""Arsiccia"" da cui sorse l'Abbazia dei Benedettin","I primi abitatori delle ""terre de la Cava"", furono i Tirreni, o Etruschi, per cui il 27 agosto 1862 l'amministrazione comunale cambiò il nome della città in Cava de' Tirreni. Ai Tirreni era attribuito da Strabone (Geografia V,4,13) il porto di Marcina, identificato con Vietri che, con Cetara e Fonti, all'epoca facevano parte del territorio comunale. I reperti pre-romani custoditi nel museo della Badia Benedettina sono in realtà pervenuti da altri siti, frutto di collezionismo archeologico degli abati nei secoli passati. Reperti attribuibili alle fasi insediative pre-romane, recuperati da fortuiti ritrovamenti in età moderna citati dagli storici locali, sono andati dispersi. I resti archeologici più antichi di frequentazione del territorio risalgono i ogni caso al IV-III sec. a.C.Nessuna fonte conforta la tradizionale interpretazione del toponimo altomedievale ""Mitilianum"" come luogo legato alla Gens Mitilia. Tuttavia, che il territorio fosse abitato in età romana lo rivelano resti di ville rustiche che furono ritrovate negli antichi villaggi di Vetranto, San Cesareo e Santa Lucia. Altri resti di epoca romana, sepolcreti, colombari furono rinvenuti in diverse zone del territorio al confine dell'insediamento romano di Nuceria Alfaterna, lungo la strada secondaria che da Nuceria portava a Salernum e presso la località di Pregiato, probabilmente attraversata da un asse di viabilità secondaria per Salernum. Fu abitata dai Longobardi, la cui civiltà è testimoniata da una serie di antiche Torri costruite per il Gioco dei Colombi e per molti toponimi, risalenti ai tre secoli di dominazione longobarda (secc. IX-XI).Nel 1011 fu fondata l'Abbazia della Santissima Trinità. L'Abate San Pietro I (1079-1123) fondò ed edificò nell'XI secolo a ridosso del Cenobio Benedettino il villaggio di Corpo di Cava, protetto da alte mura e bastioni; in pratica il primo insediamento moderno della città di Cava. Nel XIV e XV secolo si sviluppò il Borgo Scacciaventi, pregevole esempio di centro commerciale, caratterizzato da una via fiancheggiata da portici e da storici palazzi porticati. Una strada di una ""perfetta regolarità"", come scriveva Eduardo Gauthier Du Lys D'Arc nel suo ""Voyage de Naples á Amalfi"" (Paris 1829).Il 7 agosto del 1394, il papa Bonifacio IX, con una propria bolla, elevò ""le terre de la Cava"" alla dignità di città. Nacque allora il toponimo ""la Cava"", denominazione che solo dopo l'unità d'Italia, a seguito di un referendum cittadino, fu modificata in Cava de' Tirreni."
38,Medievale,VII,670.0,"Celle di Bulgheria, storia del paese che lega la Campania alla Bulgaria. Celle di Bulgheria è un paese tanto piccolo quanto curioso nel suo nome, che già dovrebbe insospettirci nel suono. Prima dell’Unità d’Italia si chiamava solo “Celle” o “Celle di Bulgaria”, ai piedi del monte Bulgaro","Celle di Bulgheria è un piccolo comune la cui storia è caratterizzata da due eventi rilevanti: lo stanziamento dei proto-bulgari e quello dei monaci. I proto-bulgari abitarono questa terra, giungendo fino alle falde del Monte Bulgheria e fondando dei villaggi. I monaci arrivarono dalla Bulgaria e dalla Grecia e fondarono cenobi e celle attorno ai quali sorsero i primi centri abitati."
39,Moderna,XVI,1861.0,"Secondo la tradizione il nome deriva dai ""cento"" uomini provenienti dalla città di Molpa che fondarono il paese. Ma molto più probabilmente il nome deriva da un'unità di misura agraria, centum, forse cento iugeri. Lo iugero identifica un appezzamento di terra che è possibile arare in un giorno con un paio di buoi.","La leggenda vuole che Centola sia stata fondata intorno al XVI secolo da una cosiddetta “centuria” di profughi provenienti dall'antica città di Molpa: da questa “centuria” sarebbe poi derivato il nome al paese. Tuttavia Carla Marcato, ricercatrice dell'Università di Udine, ritiene molto più probabile una discendenza del toponimo da un'unità di misura agraria. Del resto il paese risulta più antico di quanto vorrebbe la leggenda."
40,Medievale,XII,1149.0,"Il nome deriva dal latino cerasus, l'albero di ciliegie","La prima notizia documentata di Ceraso, una pergamena di Papa Eugenio III, risale  al 6 maggio 1149, anche se alcuni elementi, il culto di San Nicola di Mira, il toponimo, Kerasous che ci riporta alla città omonima nel Ponto, fanno pensare che il borgo fosse stato fondato prima dell'anno 1000.Il borgo sorse intorno ad un importante via di collegamento ""La Via Del Sale"" che collegava le vie Veline con la costa Ionica.La sua importanza crebbe quando durante l'età romana fu aggiunta un'altra via oggi chiamata ""Costa delle Monache"", che collegava il paese con una stazione daziaria romana ""Corneto"" oggi Vallo della Lucania e durante il Medioevo aveva raggiunto un notevole sviluppo economico."
41,Medievale,,,"Cetara è sempre stato un paese di pescatori, non a caso il suo nome deriva dal latino Cetaria, tonnara, o da cetari, venditori di pesci grossi.","Cetara è sempre stata un paese di pescatori, ed infatti il suo nome deriva da Cetaria. o tonnara o da ""cetari"", venditori di pesci grossi, i tonni appunto. Fin dal 1030 Cetara fu debitrice al vescovo di Amalfi, dal quale dipendeva, dello ""ius piscariae,"" la decima della pesca."
42,Medievale,XV,1461.0,"L'origine del nome è quasi del tutto sconosciuta. Potrebbe derivare dal latino cicero, ossia cece, o da fundus ciceralis, ad indicare luogo dove si coltivano i ceci.","La prima notizia del casale si ritrova in un documento del 1461, quando Ferdinando I d'Aragona sottrasse il feudo ai Capano, per concederlo ai Sanseverino."
43,Medievale,XV,1426.0,"Il comune è ai confini con la Basilicata. E' medaglia d'oro al merito civile. Ha origine gentilizia (cioè deriva da un nome di famiglia). Proviene dal nome latino Collius a cui è stato aggiunto, nel tempo, il suffisso -anus che indica la proprietà.","Nel 1230 feudatari di Colliano sono Agnese e la figlia Giovanna, che era anche signora di Senerchia. Nel 1268 Colliano fu per un solo anno feudo di un certo Ugone. ... Nel 1331, si ha uno smembramento del feudo, Collianello fu donato a Tommaso da Porta. Nel 1426 Colliano e un possedimento di Luigi Gesualdo."
44,Medievale,XIII,1208.0,"Si narra che nel XVI secolo a Conca dei Marini ci fossero le streghe, dette janare. Si pensa che questo termine derivi dal latino ianua (porta) e che rimanda ai riti augurali e di superstizione che venivano fatti per proteggere la casa dal malocchio.","Conca dei Marini, l'antica Cossa dei Tirreni , divenuta colonia romana nel 481 a.C., è stata storicamente legata ad di Amalfi: faceva parte infatti del territorio della Repubblica Marinara e ne costituiva uno dei principali punti di ormeggio, disponendo di un porto ben protetto."
45,Contemporanea,XXI,2009.0,"Il suo nome deriva dalla sua posizione e dalla esposizione al sole: CONTRA – ELJONE (dal greco helios che significa sole), ovvero ""Di faccia al sole"". Lo stemma del Comune di Controne reca al centro dello scudo un'aquila bicipite, di colore grigio, con le ali spiegate.","Fece parte del feudo dei Sanseverino, per passare poi in mano a vari feudatari, fino ai Jaquinto, che lo tennero fino al 1806."
46,Medievale,IX,840.0,"Le origini di Contursi Terme sono state lungamente discusse da vari storici. Basandosi sull'autorità di Plinio il Vecchio, ha ritenuto che Contursi potesse identificarsi con Ursentum, cioè la sede degli Ursentini, i quali, assieme ad altri popoli costituiva la nazione dei Lucani.","Gli storici ne fissano la nascita nell'anno 840 quando Orso1, conte di Conza, volle garantire Salerno2 con la presenza di un avamposto militare sulla collina che dominava l'intera valle, intorno alla confluenza dei fiumi Sele e Tanagro, da sempre storicamente soggetta a facili scorribande di varie soldataglie e pericolosi fuoriusciti. Sorse, così, un probabile castrum Comitis Ursi3, da cui l'attuale toponimo Contursi. È probabile che piccoli nuclei famigliari (pastori, pescatori, coltivatori), sparsi nella valle e aggregati in anonimi vicus o pagus4, grotte5 e capanne, rassicurati dalla presenza militare decidessero di costruire abitazioni intorno al castrum."
47,Moderna,XIX,1806.0,"Probabilmente deriva da corvus, corvo, con il suffisso -aria, che solitamente si applica per indicare un luogo in cui un certo elemento (in questo caso animale) è presente in quantità","Alla distruzione di Nocera (216 a.C.) ad opera di Annibale, parte della popolazione superstite si trasferì nelle zone limitrofe in attesa della ricostruzione della città durata trent'anni, finanziata dal Senato di Roma per ripagare Nocera della fedeltà a Roma stessa. In questo periodo, verosimilmente, si suppone abbia preso corpo il grosso del nucleo abitativo che diventerà Corbara."
48,Moderna,XIX,1802.0,"L'origine del nome risale al termine latino coryletum, traducibile come bosco di noccioli (Corylus avellana). Il termine Monforte deriva invece dai locali feudatari.","nel 1246 subì un assedio da parte di Federico II di Svevia: si tramanda che, servendosi astutamente di un espediente -lanciare pezzi di formaggio anziché sassi-, la comunità fece credere alle milizie sveve di essere ben fornita di vettovaglie e le indusse a desistere. Testimoni insigni dell'epoca preromana sono i siti archeologici di Piano del Bue, situato a 6 chilometri dall'abitato, e di Timpa degli Antichi, dove sono tornati alla luce insediamenti rurali. Tra i tesori architettonici del comune spiccano i numerosi edifici sacri: la chiesa di Santa Barbara, che fu la prima parrocchia, quella di San Teodoro, risalente al 500 d.C., quelle cinquecentesche di San Giovanni e della Madonna della Selice e la chiesa del Santissimo Rosario (1771)."
49,Moderna,XIX,1861.0,"Il toponimo “cuccaro” deriva dal greco e significa cima, cocuzzolo, mentre Vetere deriva dal latino e significa antico. Il nome richiama alla memoria l'immagine del luogo che, dall'alto, domina l'ampia valle sottostante.","Le origini si perdono nella notte dei tempi mescolandosi alla leggenda. Il suo nome deriva dal greco “Kyclos” e significa “recinto fortificato”, ed è dovuto alla posizione geografica che domina la vasta zona circostante. Tale posizione ne fece prima un rifugio e poi un caposaldo difensivo di Velia. E’ stata una delle quattro terre normanne che costituivano la baronia di Novi, poi feudo autonomo e capoluogo dello stato omonimo che, oltre Cuccaro, con il casale di Laureto fino al 1404, comprendeva Abatemarco, Castinatelli, Eremiti, Butani, Massicelle, Montano S. Mauro la Burca e S. Nazario"
50,Medievale,XV,1419.0,"Il nome Eboli potrebbe derivare da Eu bòlos (ευ βώλος, ""buona zolla""), o da un mitico fondatore: Ebalo, figlio della ninfa Sebeti e di Telone, re di Capri, menzionato da Virgilio alla fine del settimo libro dell'Eneide, dove dice: Oebale quem generasse Telon Sebetide Nympha.","n epoca romana Eboli veniva a trovarsi sull'asse di penetrazione verso la Lucania e che i Romani adottarono come preferenziale nella creazione della successiva strada consolare Popilia detta anche Regio-Capuam. Infatti, anche se questa è datata nella seconda metà del II secolo a.C., non si può escludere che il suo percorso venisse sfruttato anche prima, come testimoniano i resti di un porto ante-litteram e che i Romani ribattezzeranno Portus Alburnus: tipiche imbarcazioni chiamate ""Lintra"", risalivano il Sele dalla colonia greca pestana, cariche di merci, ed il capolinea era questa insenatura in cui vi erano degli attracchi sicuri. Da qui le merci venivano distribuite all'entroterra, proprio tramite la via consiliare. La presenza di questo itinerario, lungo 132 miglia e che apre a Roma il sud per la conquista militare-politica, potrebbe spiegare la romanizzazione del sito di Eboli anche indipendentemente dalla colonia latina di Paestum. In ogni caso sono emerse tracce concrete ad Eboli di una strada lastricata che potrebbe identificarsi con la Popilia, a sud-est, lungo la congiunzione tra le colline e la pianura, non lontano dalla Statale 19 delle Calabrie, che a grandi linee ripercorre l'antica consolare. Tale scoperta ripropone il problema del percorso della Popilia in rapporto al centro antico di Eboli, se cioè lo attraversasse provenendo da monte, come ha sostenuto Werner Johannowsky, o se ne interessasse il territorio costeggiando il fondo valle, com'è opinione del d'Agostino."
