"Nome Comune","Numero di abitanti","Sindaco","Nome degli abitanti","Frazioni","Codice Postale","Superficie","Numero di frazioni","Etimologia del nome","Storia","Patrono","Giorno festivo","Epoca di fondazione","Secolo di fondazione","Anno di fondazione","Numero di punti di interesse","Numero di aziende","Numero di scuole","Percorsi","Eventi","Geolocalizzazione","Immagine","Sitografia","Bibliografia"
"Bisaccia",3811,"Marcello Arminio","Bisaccesi","Calaggio, Macchitella, calli, Oscata, pedurza, Piano regolatore",83044,102.16,5,"biṡàccia (ant. o region. biṡacca) s. f. [lat. tardo bisaccium «doppio sacco», comp. di bi- e saccus «sacco»] (pl. -ce). – 1. Grossa sacca di pelle o stoffa da portarsi ad armacollo o a cavallo con il necessario per il viaggio; è portata anche dai frati da cerca: venne avanti un laico cercatore cappuccino, con la sua b. pendente alla spalla sinistra (Manzoni). 2. Antica unità di misura di capacità degli aridi, di valore vario (nel Bergamasco: 512,05 l; in Sicilia: 68,77 l = 1/4 della salma). In Sicilia, era anche unità di misura di superficie, pari a 43,65 are (1/4 della salma, unità di superficie). 3. Curva algebrica, di equazione cartesiana (x2 - by)2 = a2 (x2 - y2), che rientra nella classe delle «curve a otto»; è cosi chiamata perché formata da due cappi che hanno in comune l’origine. Dim. biṡaccétta, biṡaccina, e ant. biṡacci(u)òlo m.","Il luogo dove sorge adesso Bisaccia era abitato fin dall'età del bronzo. Sulla collina del cimitero vecchio, recenti scavi hanno messo in luce tracce di capanne databili al periodo del bronzo medio (circa 1400 a.C.). Su di esse si sono sovrapposte le case del periodo arcaico (VI-V secolo a.C.) a loro volta ricoperte dall'abitato del IV.","Sant'Antonio di Padova","13 giugno","Medievale","XI",1087,7,63,7,"Informazione assente","Nessun evento","41.01346956549671, 15.375036345174209","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/17e5e2d1-3ed8-43ea-b821-fb0072942220.jpeg","","",
"Bonito",2600,"Giuseppe de Pasquale","Bonitesi","Beatrice, Beatrice I, Cinquegrana, Cinquegrana Prima, Grieci, Grieci Primo, Grieci Secondo, Maleprandi Primo, Maleprandi Secondo, Masiello Tordiglione, Masiello Tordiglione Primo, Masiello Tordiglione Secondo, Morroni",83032,19.02,15,"Trae origine dal nome di persona latino Bonitus o Boneto che deriva a sua volta da Bonetum oppure da bonnet, sostantivo che identifica un copricapo normanno.","In età romana faceva parte dei territori dell'antica Aeclanum, dai cui coloni veniva intensamente coltivata. Le prime notizie relative all'esistenza di un centro abitato risalgono al X secolo, quando venne edificato dai longobardi il Castrum Boneti, a scopo difensivo, nella zona di confine tra la contea di Ariano e il ducato di Benevento. Passata ai normanni nel secolo successivo, fu soggetta, in epoca angioina, alla famiglia locale dei Bonito; acquistata nel 1445 dagli Orsini, fu venduta nel 1648 ai Pisaniello: una leggenda narra che un componente di questa famiglia, durante la rivolta anti-spagnola di Masaniello del 1647, venne decapitato per aver rapito e tenuto prigioniera nel suo castello una fanciulla del luogo.","San Bonito di Clermont","15 gennaio","Medievale","X","Informazione assente",12,34,3,"Informazione assente","Numerose feste religiose","41.10282383847305, 15.00455794430314","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/5fecdfab-6b02-4c90-9b5e-4c2746d26920.jpg","www.irpinia.info","",
"Cairano",442,"Luigi d'Angelis","Cairanesi","Non ha frazioni",83040,14.23,0,"Deriva dal nome di persona latino Carius a cui si aggiunge il suffisso -anus che indica appartenenza.","Il territorio di Cairano venne frequentato ed abitato sin dall'Età del ferro, come confermarono i ritrovamenti archeologici, frutto di diverse campagne di scavo, che individuarono un insediamento ed una necropoli con tombe a fossa.I reperti archeologici sono custoditi presso il Museo Irpino di Avellino. Si tratta di reperti unici, tanto che gli studiosi coniarono la denominazione di ""Cultura di Cairano ed Oliveto Citra"". Tali reperti archeologici, dalla raffinata lavorazione, dimostrano che in Irpinia, tra il IX ed il VII secolo A.C., vivevano popolazioni che avevano raggiunto un elevato livello di sviluppo, tanto da lavorare abilmente i metalli.Nelle tombe a fossa vennero rinvenute delle spille (fibulae) ad occhiali o munite di arco a staffa, elmi di bronzo, vasi di terracotta, coltelli ricurvi, rasoi.All'età romana risalgono dei reperti rinvenuti nelle località Rasale, Ischia della Corte ed a valle del paese.La prima citazione del borgo medioevale risale al 1096, quando era definito ""Castellum Carissanum"". Tale Castello, eretto al tempo dei Longobardi nel punto più alto della collina, venne totalmente ricostruito in epoca normanna, quando feudatari erano i Balvano (o Balbano).Durante il Medioevo, funse da fortificazione di Conza, per la sua strategica posizione panoramica. Successivi feudatari furono i Del Balzo, i Gesualdo, i Ludovisi, i Cimadoro (verso la metà del XVII secolo, con presumibile trasformazione della struttura difensiva distrutta nel Medioevo in residenza gentilizia) ed i Garofalo.Cairano diede i natali al musicista Carlo Di Marzio, al giurista Michele De Stefano, allo storico sacerdote Sabino Amato ed a Eugenio Malossi, inventore del ""Regolo Malossi"", utilizzato per l'educazione di ciechi e sordi.","San Leone","10 novembre","Medievale","XI",1096,7,14,0,"A Cairano un viaggio tra storiche cantine e rupe sognanti Eventi a Avellino„Un percorso arcaico che prende forma tra radicati versi e racconti di altri tempi, per proseguire nella pittoresca via delle Grotte, unica in Campania, alla scoperta di cantine millenarie che nascondono autentiche necropoli, con una stratificazione geologica straordinaria.Passando per il teatro al centro del paese fino alla rupe, il punto più alto di Cairano. Da qui si gode di un’ampia vista sulla valle dell’Ofanto e sulla catena Appenninica dei Monti Picentini e nelle giornate di vento, suona il magistrale organo a canne, unico al mondo, che lascia spazio a una profonda meditazione. Scendendo, una piccola sosta ai giardini Di Biasi, un giardino ricco di idee e particolari originali, e l’incontro imprescindibile con la storia di Cairano, il barista Zi Ngiulino.L’esperienza prosegue a casa di Dario, dove tra storie e aneddoti, ogni viaggiatore potrà conoscere la magia nascosta del piccolo paese, e infine il light lunch organizzato da Zembalo Gesualdo (prodotti tipici, piatti della tradizione ed eccellenti bicchieri di vino per conoscere i sapori del borgo e irpini).","Mercatini di natale,sagre e fiere","40.895473789172065, 15.367379397671272","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/273adc7c-d0fc-4a4b-840c-af4d42387908.jpg","www.irpinia.info","",
"Calabritto",2900,"Gelsomino Centanni","Calabrittani","Quaglietta",83040,56.33,1,"l nome ""Calabritto"" deriverebbe dal latino ""Kalabrix"", una pianta spinosa simile al biancospino[4].Secondo una leggenda popolare locale il nome sarebbe dovuto alla presenza, in epoca medioevale, di una bella locandiera di facili costumi di nome Britta, che, per la sua bellezza, veniva acclamata dai commensali al coro di ""Cala Britta"".[5] Secondo altri invece il nome Kalavrix mette in relazione il nome del paese con un'antica città greca, Kalavryta","Il primo nucleo abitato di Calabritto risale alle contrade Castruzzo e Piedelmonte (Pedemontis), dove gli abitanti si rifugiarono per respingere gli assalti dei Saraceni lungo la valle del Sele.L’attuale centro abitato è’ di origine presumibilmente longobarda. Il paese acquista una certa importanza in epoca tardomedioevale (durante la dominazione angioina, aragonese); successivamente, divenuto feudo degli Estouteville (italianizzato in Tuttavilla), famiglia patrizia di Napoli, acquisisce il titolo di Ducato","San Giuseppe","19 marzo","Medievale","XIII",1229,6,31,1,"Informazione assente","Mercato settimanale, sagra della castagna","40.783829592783114, 15.219875266049575","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/7ef5e5bb-f5d7-4828-a6f2-d27318b245a4.jpg","www.wikipedia.it","",
"Calitri",4457,"Michele Di Maio","Calitrani o aletrini","Calitri Scalo",83045,101.28,1,"Il toponimo è di origine incerta. Secondo una prima ipotesi il nome deriverebbe da un'antica radice mediterranea gal avente il significato di ""roccaforte""; altri lo ricollegano invece al ligure Caletranus Ager attestato nel lontano territorio di Luni (la folta presenza di Liguri in Irpinia è infatti documentata fin dal 180 a.C.). Secondo un'altra linea di pensiero il toponimo deriverebbe piuttosto dall'antico nome prelatino (galatro) di una pianta assai comune in zona, l'avena selvatica.","Le prime tracce della presenza umana nel territorio di Calitri risalgono al Neolitico, cui appartengono alcuni utensili in selce levigata conservati presso il museo irpino di Avellino.  Nel periodo medioevale, Calitri è uno dei tanti centri sottoposti all'amministrazione longobarda prima e normanna e sveva poi. Durante la dominazione normanna, il feudo di Calitri venne affidato ai Balvano, mentre sotto il regno di Federico II di Svevia appartenne al regio demanio. Nel 1304 Calitri passò ai Gesualdo, principi di Venosa che ne ebbero il possesso per tre secoli per poi cederlo alla famiglia Mirelli. Durante il terremoto dell'8 settembre 1694 il castello di Calitri fu completamente distrutto e morì il principe Mirelli. I superstiti della famiglia Mirelli optarono per l'abbandono dei ruderi in cima alla collina ricostruendo il palazzo baronale più a valle. Dopo l'unità d'Italia la storia di Calitri si confonde con quella di tanti altri centri dell'Italia meridionale: brigantaggio, emigrazione, latifondismo baronale, lotte per la spartizione della terra. Nel 1861 fu conquistata e liberata dagli uomini del brigante lucano Carmine Crocco, assieme ad Aquilonia, Conza della Campania e Sant'Andrea di Conza. Nel giugno 1910 e nel luglio 1930 dei sismi di notevole magnitudo colpirono Calitri. Nel 1943 arrivarono le truppe tedesche che distrussero molti ponti tra cui quello sull'Ofanto. L'8 settembre, giorno in cui si celebra la natività della Beata Vergine Maria (giorno di festa per i calitrani), una radio annunciò che l'Italia aveva chiesto l'armistizio. La mattina del 29 settembre dello stesso anno, dei facinorosi si rivoltarono e malmenarono l'allora sindaco conte Salvatore Zampaglione e l'ex podestà, saccheggiarono lo stesso palazzo e uccisero alcuni componenti della famiglia Ricciardi. Nel secondo dopoguerra ai vertici nazionali c'era la Democrazia Cristiana, tra cui spiccò il calitrano Salvatore Scoca che fu più volte ministro; Calitri risentì con lieve ritardo anche del boom economico: in quegli anni  divenne il più importante centro dell'alta Irpinia grazie al potere attirante dei suoi istituti. Il sisma del 1980 provocò due decessi e l'inagibilità per molti anni di gran parte del centro storico.","San Canio","25 maggio","Neolitica","Informazione assente","Informazione assente",14,50,6,"La visita guidata, partendo dalla storia di Calitri, mostra i ruderi del Castello, la Chiesa di S.Canio , l'Ex Monastero delle Suore Benedettine, ora sede del Municipio, la Chiesa della SS Annunziata, la Chiesa di S. Bernardino e fornisce informazioni sulle Altre Chiese.","La Processione del Venerdì Santo, la festa di Santa Maria dei Santi, la fiera Agri Ofanto, la Processione del Corpus Domini, la processione di S. Antonio, la festa di S. Vito, la festa di Maria Vergine, la Processione a Calitri Scalo, la festa di S. Lucia e S. Canio, la festa dell'Immacolata Concezione, la fiera Interregionale, la Festa dell'Emigrante, la Festa e Fiera del S. Rosario, la Sagra della scarpegghia.","40.905182, 15.426405","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/4376c061-055e-49b0-bde8-79850f0a3250.jpeg","www.irpinia.info,             Wikipedia.it","",
"Candida",1121,"Fausto Picone","Candidesi","Non ha frazioni",83040,5.35,0,"Il toponimo del paese è di origine classica indicando le candide e biancheggianti rocce su cui è insediata la parte più antica dell'abitato. Un'altra ipotesi, invece, fa riferimento alle denominazioni che prendevano le villae romane, isprirandosi alle caratteristiche dell'ambiente su cui insistevano.","Fino al IX secolo d.C. non ci sono documenti che attestano l'esistenza del borgo di Candida, ma dai numerosi ritrovamenti di terracotta e di ceramica antica nelle zone che degradano verso il vallo che separa il territorio di Candida da quello di Montefalcione, si può facilmente presumere che vi fossero insediamenti di famiglie dedite alla pastorizia e alla coltivazione di quelle terre, sfruttando le acque del torrentello e i boschi circostanti che facevano parte del nemus Corilianum, cosiddetto per la prevalenza del noccioleto selvatico. I rinvenimenti lasciano pensare che non vi fosse alcuna costruzione in laterizio, visto che gli oggetti, tuttora visibili in quelle terre, riguardano esclusivamente tegole e cocci in ceramica d'uso domestico. Un saggio di scavo in un insediamento pre-romano individuato in località Cesine fu ritrovata una bella patera del IV secolo a.C.","San Filippo Neri","26 maggio","Medievale","XI",1045,8,31,9,"La  visita guidata, partendo dalla storia di Candida, mostra i due castelli, uno diroccato, all'ingresso del paese ed un altro nel borgo antico, l'ex monastero Virginiano la chiesa di S. Maria Assunta, gli edifici signorili, delle immagini dell'antico borgo.","La festa di Maria SS. del Buon Consiglio ed a S. Antonio.","40.9422913314066, 14.8749596230546","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/69130490-a346-4b2a-8998-10c24d67b04b.jpg","www.irpinia.info, Wikipedia.it","",
"Caposele",3371,"Lorenzo Melillo","Caposelesi","Materdomini",83040,41.28,1,"Il toponimo Caposele deriverebbe da caput Sylaris, ovvero ""capo (o inizio) del Sele"", data l'ubicazione del paese nei pressi delle sorgenti del fiume.","Le prime notizie di un feudo (e di un probabile castello) risalgono al periodo normanno, probabilmente al 1160, quando Filippo di Balvano ne divenne il proprietario, e da qui inviò alcuni militi alla spedizione in Terra santa per la conquista di Gerusalemme. Nel corso dei secoli, il territorio passò nelle mani degli Svevi e degli Angioini. Sotto gli Aragonesi, una parte del territorio venne data a Jacopo Sannazzaro. Successivamente il paese ottenne il titolo di universitas, una sorta di comune autonomo in grado di eleggere liberamente un sindaco per alzata di mano dei suoi abitanti e di amministrare la giustizia. Grande privilegio dato ai sudditi, che, nel frattempo, scelsero anche un santo patrono, san Lorenzo, per la chiesa madre ed uno stemma per il proprio comune. Nel XVII secolo il territorio di Caposele passò ai Ludovisio, che l'acquistarono e rivendettero più di una volta. Tutto ciò li costrinse spesso a lasciare il castello. Fu così che comunità religiose e confraternite occuparono l'intera zona, le chiese aumentarono di numero e famiglie di origine diversa si affiancarono sempre più ai casali intorno alla chiesa e alle proprietà private. La peste del 1656 decimò la popolazione del paese e un'altra triste calamità che si abbatté sul paese fu il terremoto del 1694 che pure provocò numerose vittime. Nel 1714 fu nominato principe della Terra di Caposele Inigo Rota. Nel 1771 il territorio passò nelle mani di Carlo Lagni, marito di Ippolita Rota, figlia di Inigo, dalla quale lo ottenne per via matrimoniale Carlo Lagni, ultimo signore del luogo sino all'abolizione dei diritti feudali (1806).","San Lorenzo","10 agosto","Antica","Informazione assente","Informazione assente",5,50,7,"La visita guidata partendo dalla storia di Caposele, mostra i pochi ruderi del Castello, la Chiesa di S. Lorenzo, la Chiesa di S. Maria Sanità, la Galleria di immagini di Caposele, il Santuario di S. Gerardo Maiella.","Il Ferragosto Caposelese, la Sagra dei fusilli, la Corsa dei Tre Campanili, la Festa S. Gerardo\Sorgenti del Sele, la Fiera di S. Gerardo, la Benedizione delle Sementi.","40.81435071842705, 15.224361882448173","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/ffab66cc-e1e8-456f-998e-6c9fe8486bc0.jpg","www.irpinia.info, Wikipedia.it","",
"Capriglia Irpina",2404,"Nunziante Picariello","Caprigliesi","Breccelle I, Breccelle II, Casale, Marzano, Pozzo del Sale, San Felice, Spinielli, Cioppolo.",83010,7.49,8,"Anticamente chiamato Caprilio o Caprilia, che è il neutro plurale del nome latino Caprile (ossia stallo, pascolo). Per distinguere il nome del comune dagli altri omonimi è stato successivamente aggiunto il termine ""Irpina"".","Fu feudo di alcune potenti famiglie del Regno di Napoli, i Carafa, i Caracciolo principi di Avellino e gli Schipani. Questi ultimi, nel 1738, la cedettero al marchese di Arneto, Gaetano Amoretti, che morì senza figli maschi e per questo il paese venne acquisito nel 1780, per circa 42000 ducati, da Nicola Macedonio, dei duchi di Grottolella, marchesi di Ruggiano, Oliveto e Tortora, baroni di Poligori in Calabria, che ne ebbe la signoria col titolo di marchese e alla cui famiglia appartenne fino all'abolizione dei diritti feudali, nel 1806.","San Nicola di Bari","6 dicembre","Antica","IV","Informazione assente",4,8,2,"Informazione assente","La Via Crucis, la Festa di S. Felice, la Festa del Corpus Domini, la Sagra dello gnocco e della jonda, il Presepe Vivente.","40.95817361029032, 14.774802672245244","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/ae892b83-c8ac-40b8-ad44-8ac1f00993c2.jpg","amministrazionicomunali.it, www.irpinia.info, Wikipedia.it","",
"Carife",1381,"Antonio Manzi","Carifani","Ariacchino, Ciaruolo, Piano Lagnetta, San Martino, Santo Leo, Serra di Fusco, Fiumara",83040,17.12,7,"La sua etimologia non è chiara, forse è collegato con Carifi (Casale di Sanseverino vicino Salerno).","In epoca pre-romana il territorio era abitato da popolazioni sannitiche, come attestato dai numerosi reperti rinvenuti nella locale area archeologica, una delle più importanti dell'Irpinia. In epoca moderna il comune fu danneggiato gravemente da diversi eventi sismici e specialmente dal terremoto dell'Irpinia del 1732. Nell'Ottocento il comune fece parte del circondario di Castelbaronia ricadente nel distretto di Ariano nell'ambito del principato Ultra all'interno del regno delle Due Sicilie. In epoca postunitaria Carife fu parte del mandamento di Castelbaronia nell'ambito del circondario di Ariano di Puglia all'interno della provincia di Avellino.","San Giovanni Battista","24 giugno","Antica","V - IV a.C.","Informazione assente",5,5,3,"La visita guidata partendo dalla storia di Carife parte dalla Chiesa di S. Giovanni Battista, di S. Francesco, del  Purgatorio e dell'Addolorata. Poi si procede verso i portali in pietra, nonché le case tipiche ed infine ci sono delle fontane del verde acque e del palazzo marchesale.","Il Carnevale carifano, la Via Crucis, la Fiera del Bestiame, la Sfilata dei ""Mezzetti"".","41.02859251158158, 15.208441291022552","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/1c1db2fc-1bb6-4d0b-97b4-7b5d28e9e8a1.jpg","aziende.tuttosuitalia.com, www.tuttitalia.it, Wikipedia.it, www.irpinia.info.","",
"Casalbore",1754,"Raffaele Fabiano","Casalboresi","Cupa, Cupazzo, Frascino, Mainardi, Pagliarone, San Ferro, Sant'Elia, Schiavonesca e Todino",83034,28.09,9,"Deriva dall'associazione di ""Casale"" con il nome di persona ""Albulus"" o ""Albolus"" che poi è diventato ""Arburus"" con accostamento al termine ""arbore"". Quindi potrebbbe significare ""Casale degli alberi""","Non conosciamo il suo antico nome ma, grazie ai rinvenimenti archeologici, sappiamo che sin dall'antichità il suo territorio è stato frequentato da varie popolazioni, ma probabilmente perché era attraversato da un'antica strada denominata Regio Tratturo Pescasseroli - Candela, tracciato viario che permetteva collegamenti con la Puglia. In età preromana il suo abitato era costituito da fattorie sparse. Di particolare rilievo è stato il rinvenimento di una necropoli di tombe a tumulo databili tra metà del VI sec. a.C. e la prima metà di quello successivo.Tali tumuli, che contengono più inumazioni pertinenti allo stesso nucleo familiare, hanno diametri che vanno da 5 a 12 metri, sono alti m. 2,50 e hanno una struttura in pietrame. I defunti sono in posizione supina; le deposizioni maschili sono spesso caratterizzate dalla presenza di armi di offesa, mentre le fibule fanno parte del costume femminile. Tra i vasi di corredo è caratteristico il Kantharos con anse ed orecchini. In località Macchia Porcara è stata individuata un'importante area sacra databile per una prima fase al V sec. a.C. Dopo la metà del III sec. a.C. il complesso è stato ristrutturato ma i lavori sono stati interrotti nel 217 a.C. a causa degli aspri scontri della seconda guerra punica. Il tempio era preceduto da un'area scoperta con l'altare, fiancheggiata da portici. In pianta l'edificio templare era costituito da un vestibolo con sei colonne, precedute da tre gradoni, e da una cella. I pavimenti erano in cocciopesto con tessere in pietra calcarea che creavano motivi a losanghe. Le pareti erano stuccate e all'interno la decorazione era costituita da false bugne in rosso e in giallo che terminavano con una cornice a dentelli. In età romana Casalbore faceva parte del territorio di Benevento . Anche in quest'epoca l'insediamento aveva un carattere sparso. Interessante è un monumento funerario del III sec. d.C. trasformato in una chiesa dedicata a Santa Maria dei Bossi, la cui utilizzazione è attestata fino al VII secolo d.C.","Madonna delle Nevi","5 agosto","Antica","Informazione assente","Informazione assente",8,51,3,"Informazione assente","Fiere quali quelle di San Michele Arcangelo (8-15 maggio) e quella di S. Maria dei Bossi (prima domenica settembre).","41.23407, 15.00692","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/095c049b-da2f-48fd-b819-1161968726f2.jpg","http://www.comune.casalbore.av.it/","",
"Cassano Irpino",964,"Salvatore Vecchia","Cassanesi","Non ha frazioni",83040,13.07,0,"Il toponimo risale all'età romana e deriva dal nome della “gens Cassia” e dal suffisso prediale –anus, indicante un praedium Cassianum, ossia un latifondo o una villa rustica appartenente a quella famiglia.","Sebbene sia stata ipotizzata la frequentazione del territorio di Cassano Irpino in epoca pre-romana, sin dal X secolo A.C., certa è la presenza umana in epoca romana. Gran parte di questo patrimonio oggi è custodito presso il Museo Irpino di Avellino. L'importanza di Cassano in tale epoca discendeva dal fatto che in tale zona passava la strada che collegava la Valle del Sabato con quella del Calore. La storia di Cassano fu strettamente avvinta a quella di Montella, di cui fu Casale. Nel Medioevo, in cima al colle che domina il paese, venne costruito un fortilizio facente parte del Gastaldato di Montella. Il legame storico ed amministrativo con Montella venne rescisso nel 1806, con l'abolizione dei diritti feudali. I moti carbonari videro l'adesione convinta di diversi Cassanesi.","San Bartolomeo apostolo","25 agosto","Antica","Informazione assente","Informazione assente",9,50,1,"Informazione assente","la Sagra delle Laine e dei ceci, la Festa della Madonna del Carmine (16 luglio), la Festa ""Ritorno al Medioevo"" (agosto), la Fiera di Montevergine, la Sagra della Castagna DOCG E IGP di Montella (ultimo sabato di ottobre).","40.870908396584966, 15.027087483346333","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/4daac319-9561-435a-87ce-61c6f5c8d2d0.jpg","https://it.wikipedia.org/wiki/Cassano_Irpinohttp://www.irpinia.info/sito/towns/castelbaronia/castelbaronia.htm","",
"Castel Baronia",1096,"Felice Martone","Ciaschini o Castellesi","Acquachiusa, Case sparse, Piani, Russo.",83040,15.37,4,"Il borgo attuale prese il nome da un castello normanno intorno al quale originariamente sorse l'insediamento e dal fatto che l'area fece parte della Baronia di Vico, di cui formò uno dei capisaldi difensivi e di cui ne seguì le vicende.","Il territorio di Castel Baronia risulta essere stato non solo frequentato, ma abitato stabilmente sin dal neolitico (III millennio A.C.), come confermano i ritrovamenti archeologici nella località Isca del Pero, dove sono venute alla luce molte tombe ""a fossa semplice"", con i defunti sepolti rannicchiati, con oggetti in ferro e vasi. Altri ritrovamenti archeologici, del VI-V secolo A.C., in località Serra di Marco (centinaia di tombe ""a camera"", ricche di corredi funebri, del VI-V secolo A.C), da un lato, confermano l'importanza strategica del sito al tempo degli Hirpini, dall'altro, confermano lo sviluppo di nuclei abitati fondati su un'economia agricolo-artigianale influenzata dalle più avanzate popolazioni adriatiche. Durante il Medioevo, il villaggio era situato in località Acquara, dove vi sono ricche sorgenti. Nel XIV secolo, precisamente nel 1350, il nucleo abitato fu distrutto su ordine del feudatario di S. Angelo dei Lombardi, dal terribile brigante Maritto. Il nuovo insediamento si sviluppò attorno al Santuario di S. Maria delle Fratte, dove si venera un dipinto bizantino che mostra la Madonna, che la tradizione vuole sia stato ritrovato da un pastore. I moti carbonari degli anni 1820-21 videro la partecipazione di diversi Castellesi, che vennero esiliati una volta che i Borboni repressero la rivolta.","Santa Maria delle Fratte","2 febbraio","Neolitica","Informazione assente","III Millennio a.C.",8,35,4,"Informazione assente","La Festa della Candelora, che prevede l'accensione di un grande falò (2 febbraio), il Falò di S. Giuseppe (19 marzo), la Festa di S. Antonio (13 giugno), la Festa e Fiera di S. Anna (26 luglio). Il mercato si tiene il venerdì.","41.04744, 15.18848","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/cc14c4dd-6ff6-473d-b753-bae5874cc485.jpg","www.irpinia.info/sito/towns/castelbaronia/castelbaronia.htmhttps://it.wikipedia.org/wiki/Castel_Baronia","",
"Castelfranci",1927,"Generoso Cresta","Castellesi","Baiano, Bocchino, La Sala, Perillo Primo, Perillo Secondo, Sant'Eustachio, Torre, Valle, Vallicelli",83040,12.23,9,"Il toponimo, citato nel Catalogus Baronum (1150-1168), è un composto di CASTELLUM –diminutivo del sostantivo latino CASTRUM, ‘castello, fortezza’– e dell’aggettivo FRANCUS, ‘franco’.","Sorse probabilmente nel IX secolo d.C. come CASTRUM FRANCORUM, fortificazione eretta a guardia del ducato di Benevento dai franchi discesi in Italia al fianco di Ludovico II il Germanico. In epoca normanna fu amministrata da Guaimario Saraceno, signore di Montemarano; dopo essere stata governata da diversi signori locali, fu acquisita da Giovanni Virgato (1270), da Giovanni della Leonessa e dalla famiglia Della Marra. Colpita duramente dalla peste del 1348, rifiorì significativamente soltanto nel XVI secolo, durante la dominazione spagnola. Nel 1980 fu devastata dal violento terremoto che sconvolse tutta l’Irpinia.","San Nicola di Bari","9 maggio","Medievale","IX","Informazione assente",6,150,3,"Escursioni per visitare i tre Mulini, viaggio in treno turistico ai falò","I festeggiamenti in onore di S. Maria del Soccorso (prima domenica di maggio), l'importante fiera del bestiame (sabato che precede la prima domenica di agosto), la Fiera di S. Rocco (primo sabato di agosto), la Sagra del ""cecatiello"" (prima decade di agosto), il Wine Festival, la Notte dei Fuochi","40.9319356332929, 15.04293514563454","http://spod.databenc.it/ethersheet/images/a9899a63-df55-4446-9eeb-187a042b6f6b/2908b2c7-d8f2-4680-8ad4-d7ad7ad6b07c.jpeg","https://www.tuttitalia.it/campania/87-castelfrancihttps://it.wikipedia.org/wiki/Castelfranciwww.italiapedia.it/comune-di-castelfranci_Storia-064-023www.irpinia.info/sito/towns/castelfranci/castelfranci.htmhttps://www.informazione-aziende.it/Citta_CASTELFRANCIhttps://www.saporedicampania.it/AV_colli_castelfranci.html","",
"Castelvetere sul Calore",1700,"Generoso Moccia","Castelveteresi","Campoloprisi, Cipollara, Santa Lucia, Tremauriello, Vioni",83040,17.17,5,"L'attuale nome del paese, ""castrum"" e ""vetus""=Castello-Vecchio, è esplicativo di come le abitazioni si siano sviluppate intorno all'antico castello, che fu edificato dai Longobardi e che dopo la ricostruzione è diventato la chiesa Madre di Castelvetere","L'origine del paese risale alle prime invasioni barbariche; le prime notizie ci pervengono da una donazione di Castelvetere al monastero di San Benedetto a Salerno, avvenuto nel 991; successivamente fu donato al Santuario di Montevergine (1167); passò poi in varie mani fino a essere venduto, nel 1684, a Giuseppe de Beaumont che divenne quindi barone di Castelvetere.Castelvetere è anche celebre per essere stato uno dei paesi precursori nell'edificazione dei cimiteri fuori del centro urbano, molto prima che lo imponesse l'Editto di Saint Cloud.","Madonna delle Grazie","2 luglio","Antica","Informazione assente","Informazione assente",13,40,3,"Informazione assente","La Festa di Sant'Antuono con falò e tavolate gastronomiche, il Carnevale Castelveterese, la festa della Madonna delle Grazie, la Sagra della maccaronara e la festa del ""Pane miracoloso","40.929435057151494, 14.987336501955658","http://spod.databenc.it/ethersheet/images/2ad0752e-e8ac-4292-b220-0bbea9d33372/ef0b485d-501c-4168-8039-c187e764344a.jpg","https://it.wikipedia.org/wiki/Castelvetere_sul_Calorehttps://www.virgilio.it/italia/castelvetere-sul-calore/aziende/index.htmlwww.irpinia.info/sito/towns/castelvetere/castelvetere.htmhttps://www.tuttitalia.it/campania/44-castelvetere-sul-calore/75-scuoleCastelvetere sul Calore (Campania): la visita al borgo... | Cosa vedere (ilturista.info)","",
