Nome Comune,Numero di abitanti,Sindaco,Nome degli abitanti,Frazioni,Codice Postale,Superficie,Numero di frazioni,Etimologia del nome,Storia,Patrono,Epoca di fondazione,Anno di fondazione,Secolo di fondazione,Numero di punti di interesse,Numero di aziende,Numero di scuole,Percorsi,Eventi,Immagine,Sitografia,Giorno festivo month,Giorno festivo day,GeolocalizzazioneLattitude,GeolocalizzazioneLongitude
Atrani,862,Luciano De Rosa Laderchi,Atranesi,,84010,0.12,0,"Il nome deriva forse da un nome di persona Atrani, oppure dall'etrusco atru (nero), forse in riferimento alla posizione geografica, costruita in luoghi ""rientranti"", oscuri.","Le origini di Atrani sono ancora oggi sconosciute. Ricerche archeologiche hanno stabilito che nel I secolo d.C. lungo la Costa d'Amalfi esistevano delle ville romane, le quali furono, però, coperte dal materiale che, eruttato dal Vesuvio nel 79 d.C.",Santa Maria Maddalena,Moderna,1600.0,XVII,2.0,50.0,9.0,,,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/052cbe0b-469a-4b20-9f40-892eb6d0366e.jpg,https://it.wikipedia.org/wiki/Atari,Luglio,22,40.69146569084401,14.605401015463253
Auletta,2304,Pietro Pessolano,Aulettesi,"Mattina, Tempe Di Lizzi",84031,35.68,2,"Il nome deriva dalla sua struttura urbanistica che è simile ad un'aula. Altri credono che derivi da ""aia"" quindi un cortile piccolo.","Secondo la leggenda di Auleto, compagno di Enea che, dopo il naufragio e il riposo a Palinuro si inoltra per i luoghi interni della nostra Regione e perviene sulla sponda sinistra del Tanagro e in località "" Tempa di Donna Rosa"" dà luogo al primo insediamento urbano",San Donato,Medievale,1131.0,XI,,12.0,3.0,,"Festa della Madonna della Pace, Festa del Carciofo Bianco, Festa del fiume, Festa della vita",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/e35e0ded-e4a2-49dd-88f8-aab78fb652f1.png,https://it.wikipedia.org/wiki/Auletta,Agosto,17,40.568893795441504,15.42554564859017
Baronissi,17060,Gianfranco Valiante,Baronissesi,"Antessano, Caprecano, Fusara, Nocelleto",84081,17.93,4,Il nome proviene da una baronia locale,La costituzione del comune di Baronissi situato al centro della v alle dell' Irno si deve a 2 personaggi importanti: Giuseppe Bonaparte e Gioacchino Murat. Il primo abolì il sistema feudale mentre il secondo il 26 Gennaio del 1810 proclamò il vero e proprio comune di Baronissi,San Francesco D'assisi,Moderna,1810.0,XIX,87.0,53.0,21.0,Calvanico- Pizzo San Michele-SanMichele di basso Baronissi,"Accensione del fantoccio di Carnevale, sfilata dei carri allegorici, festa patronale",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/5a23ca81-f721-4545-aa25-78cf95426b13.jpeg,https://www.comune.baronissi.sa.it/portale,Ottobre,4,40.76582747075896,14.7728173519992
Battipaglia,50780,Cecilia Francese,Battipagliesi,"Aversana, Belvedere, Fasanara, Lago, Padova, San Emilio, Santa Lucia Inferiore, Spineta, Tavernola, Verdesca, Vivai",84091,56.85,11,"Il nome deriva dall'antica usanza dei contadini di ""battere"" la paglia in un cortile pubblico",In antichità era compresa nei territori della magna Grecia. Numerosi scavi hanno portato numerosi reperti risalienti al III secolo A.C. appartenenti a 2 intere ville.,Santa Maria della speranza,Moderna,1858.0,XIX,204.0,105.0,43.0,,"Il Gusto incontra l'Arte e la Moda, Naso di Legno",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/9edd08c9-7517-4a11-937b-2f5dee07dbf4.jpg,https://www.comune.battipaglia.sa.it/,,,40.630591177280365,14.976096287338477
Bellizzi,13620,Domenico Volpe,Bellizzesi,"Bivio-Pratole, Zona industriale-artigianale, Bivio San Vito, Olmo, Fabbrica nuova, Serroni",84092,8.02,7,Il nome deriva da un cognome molto diffuso nel sud Italia oppure al bell' aspetto del colle su cui sorge il sole,La città in questione apparteneva al regno di Ferdinando IV di Borbone e sorgeva nei pressi di Montecorvino Rovella,Sacro cuore di Gesù,Contemporanea,1990.0,XX,41.0,22.0,9.0,"I Sentieri dei Briganti, La Falconara il Giro","Sagra della braciola, Carnevale Irpino",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/be06323e-8905-4244-ac0a-6b12eaee2bf0.jfif,https://comune.bellizzi.sa.it/,Giugno,27,40.63041439922528,14.947698378434778
Bellosguardo,778,Giuseppe Parente,Bellosguardesi,,84020,16.75,0,Il nome deriva dal fatto che da questo paese si possa osservare un magnifico panorama,"Le origini di questa città vanno collegate a quelle della città di Fasanella, un antico borgo che sorgeva in località Santo Manfredi e che fu distrutto da Federico II di Svevia",San Michele Arcangelo,Greca,338.0,IV,,,,"Bellosguardo - Porcellino, Cavriglia",,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/b4c87bf3-b014-4ecd-b80d-50e84bade6b2.jpeg,https://www.comune.bellosguardo.sa.it/,Settembre,29,40.429137444994865,15.316242313254808
Bracigliano,5524,Antonio Rescigno,Braciglianesi,"Casale, San Nazario",84082,14.41,2,"Il nome deriva dal latino e vuol dire ""possesso""","La storia di questo paese risale agli etruschi dei quali sono stati ritrovati numerosi reperti. Il paese in antichità era abitato da pastori e agricoltori ,le prime testimonianze cristiane si riallacciano a quelle della popolazione dell' agro Nocerino sarnese intorno ai primi anni dopo Cristo.",San Giovanni Battista,Moderna,1890.0,XIX,15.0,5.0,8.0,"Bracigliano - Mercato San Severino, Bracigliano piesco","Raduno di Auto e Moto d'epoca, Festa Patronale di San Giovanni Battista, Sagra del Mallone,  Sagra d’o’ mascuotto",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/ec101094-d0d4-4ec2-a005-2608cbda4aec.jpeg,http://www.comune.bracigliano.sa.it/,Giugno,24,40.85692814407573,14.702203486519858
Buccino,5555,Nicola Parisi,"Buccinesi, Volceiani","Teglia, Tufariello, Pianelle, San Giovanni, Temponi",84021,65.92,5,Il nome deriva dall' antica città su cui oggi sorge l'attuale buccino,Il luogo per via della sua vicinanza con Paestum è frequentata ogni anno da milioni di turisti e i  suoi materiali risalgono fino all' età del neolitico.,Madonna dell' Immacolata,Contemporanea,1928.0,XX,5.0,3.0,2.0,,Festa Patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/3e00cacc-a4f0-45b1-b397-70c8901b47af.webp,,,,40.70179525063016,15.36602055457475
Buonabitacolo,2554,Giancarlo Guercio,Buonabitacolesi,,84032,15.54,0,Il nome deriva dalla condizione salubre del luogo,La città venne fondata da Guglielmo Sanseverino. La fondazione fu concessa a 3 architetti disposti a stabilire per se la dimora nella terra concessagli,Sant'Elia,Medievale,1333.0,XIV,3.0,4.0,3.0,,Festa Patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/cfd9e72c-0f47-4993-afaf-a470af83667f.,,Luglio,20,40.341438150024906,15.636752141103532
Caggiano,2702,Modesto Lamattina,Caggianesi,"Calabri, Fontana, Caggiano L, Mattina, Mattina V, Piedi L'arma",84030,35.43,6,"Il nome deriva dal latino, più precisamente dal comunissimo praenomen Caius","Nell' VIII-VII secolo A.C. L'area inizia a far parte delle colonie greche sulla costa. Nel territorio sono stati rivenuti resti preistorici, in particolare nelle grotte di Zachito ai piedi del  monte dove si trova il paese .",Sant'Antonio,Romana,393.0,IV,4.0,2.0,4.0,,Festa Patronale,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/52043b1f-55e9-4936-aa13-3e49eee17509.jpeg,,Giugno,13,40.57040745410698,15.499755926800463
Calvanico,1453,Francesco Gismondi,"Cravagnuoli, Calvanicesi",Capo Calvanico,84080,14.91,1,Deriva dal nome latino di persona Calva con l'aggiunta del suffisso aggettivale -anicus.,"Calvanico fu una frazione di Fisciano fino al 1829. Nel Medioevo, una leggenda, narra, che, sul Pizzo San Michele, apparse l'omonimo arcangelo, e venne eretta una chiesa in suo onore, inoltre ci sono stati molti ritrovamenti nella città risalenti ad epoche preistoriche e romane.",San Michele,Contemporanea,1829.0,XIX,5.0,1.0,3.0,"Monti Picentini, Calvanico Monte Mai, Capo Calvanico, Pizzo San Michele, Monte Faiostello","Sagra Della Castagna, Mercatini dell'usato",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/2f2cc26d-f677-443f-b84a-120e2221060a.jpg,https://it.wikipedia.org/wiki/Calvanico https://www.amministrazionicomunali.it/campania/calvanico/punti-di-interesse#,Settembre,29,40.78535241490285,14.8276200318813
Camerota,7099,Mario Salvatore Scarpitta,"Camerotani, Lentiscosani, Cusitani, Marinari","Lentiscosa, Licusati e Marina di Camerota",84040,70.58,3,"Secondo una leggenda deriva il suo nome da quello di Kamaraton, la più bella fanciulla che viaggiava a bordo della nave di Enea, dopo la fuga da Troia in fiamme","Pare che Camerota sia stata fondata dai Focei, la stessa popolazione greca che fondò la città di Elea - Velia.",San Domenico di Guzman,Greca,,,,,,"Trekking: Marina di Camerota la costa, Marina di Camerota porto Infreschi, Cilento National Park, Spiaggia Lentiscelle, Passeggiata da Fenosa alla Calanca, Cala bianca, Porto Infreschi, Residence La Barca, Villaggio la siesta Marina di Camerota, Passeggiata delle 4 spiagge.","Festa patronale di San Domenico di Guzman, meeting del mare.",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/747574e3-a660-4710-bae9-b80d122e0521.jpeg,"https://it.wikipedia.org/wiki/Camerota https://www.marinadicamerota.it/storia.htm#:~:text=L'origine%20del%20Comune%20%C3%A8,bellissima%20fanciulla%20di%20nome%20Kamarat%C3%B2n.&text=Il%20castello%20di%20Camerota%20era,del%20Cilento%2C%20assieme%20ad%20Agropoli. https://it.wikiloc.com/percorsi/escursionismo/italia/campania/marina-di-camerota https://www.camerotamarina.it/eventi/",Agosto,4,40.03561950549615,15.375868911910404
Campagna,16886,Roberto Monaco,Campagnesi,"Camaldoli, Galdo, Mattinelle, Puglietta, Quadrivio, Romandola-Madonna del Ponte, Santa Maria La Nova, Serradarce, Castrullo, San Paolo, Difesa Maddalena, Folcata, Oppidi, San Zaccaria, Vallegrini",84022,135.0,15,"Deriva dal latino campania (campo), essendo in periodo romano terra agricola.","La storia di Campania inizia nel IV a.C. secolo con le prime conquistazioni dei popoli autoctoni, poi dai greci nel VI secolo, non si hanno tracce che confermano l'insediamento romano, solo dal medioevo nel XI la città viene battezzata col nome Campania e nel 1518 Papa Leone X concesse il titolo di ""città"".",Sant'Antonino di Sorrento,Moderna,1518.0,XVI,62.0,30.0,27.0,"Trekking: Anello delle 7 Fontane (Caposele), Ravello, Amalfi, valle delle Ferriere, Punta Campanella, Path of the Gods Sentiero degli Dei Bomerano, Path of the GODS - Sentiero degli Dei, Maiori Minori Ravello Atrani Amalfi, Scala, Minuta, Pontone, Valle delle ferriere Amalfi, Monte Vesuvio (1.281m) da Ottaviano.",I Fucanoli,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/0515473c-e0ed-4884-8d2f-418d26f9bfbd.jpeg,https://it.wikipedia.org/wiki/Campagna_(Italia) https://www.amministrazionicomunali.it/campania/campagna/aziende-mepa https://it.wikiloc.com/percorsi/escursionismo/italia/campania http://nuke.cittadicampagna.com/Default.aspx?TabId=71,Febbraio,14,40.672551250487814,15.108503615580315
Campora,417,Antonio Morrone,Camporesi,,84040,29.0,0,"Il nome Campora deriverebbe dal latino campus, nella duplice accezione di ""luogo piano"" e di ""superficie agraria"".","Le prime notizie di un feudo e un probabile castello risalgono al periodo normanno (1077-1194), probabilmente al 1170, quando Turgisio de Campora, ciambellano di Terra di Lavoro[4], ne divenne il proprietario. Dal 1811 al 1860 ha fatto parte del circondario di Gioi, appartenente al Distretto di Vallo del Regno delle Due Sicilie. Nell'immediato periodo postunitario (1862-1863) numerosi cittadini, capeggiati dall'avvocato Giuseppe Tardio, si riunirono in banda armata per contrastare le attività degli invasori piemontesi. Dal 1860 al 1927, durante il Regno d'Italia ha fatto parte del mandamento di Gioi, appartenente al Circondario di Vallo della Lucania.",San Nicola di Bari,Medievale,1131.0,XII,17.0,4.0,11.0,"Trekking: Laurino. Scanno del Tesoro. (Cilento), Sentiero Vallelunga località Vesalo, Anello di Campora","Madonna della Neve, Festa di San Nicola di Bari",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/510be99f-9e90-4d9c-9f2c-1cf6c0fe0a66.jpeg,https://it.wikipedia.org/wiki/Campora https://it.wikiloc.com/percorsi/escursionismo/italia/campania/campora http://www.comune.campora.sa.it/,Dicembre,6,40.31133391274524,15.292670409722133
Cannalonga,1043,Toribio Tangredi,Cannalonghesi,,84040,17.0,0,"Origini del nome. Cannalonga è tagliata in due dal Torrente Mennonia, nel quale pare in passato vi fosse una forte presenza di canne. Secondo alcune fonti, questo tipo di vegetazione, ha dato origine al nome del paese.","Probabilmente fondata dagli abitanti di Civitella intorno al IX-X secolo, la tradizione attribuisce a Cannalonga il nome originario di Tolve dal latino terra ulvae o terra dell'ulva, pianta palustre che evidentemente coesisteva ai canneti cui fa riferimento il nome attuale del paese.",San Turibio de Mogrovejo,Medievale,,XI,16.0,9.0,6.0,"Trekking: Cannalonga Frurion Civitella (Cilento), Pruno di Laurino,  Passo Alfa - Cugnolo dell' Orco - Crepaboi, 'Il Sentiero Del Maestro'",Fiera della frecagnola,,https://www.comune.cannalonga.sa.it/ https://it.wikipedia.org/wiki/Cannalonga https://it.wikiloc.com/percorsi/outdoor/italia/campania/cannalonga,Marzo,23,40.248032872552756,15.298128839503576
Capaccio Paestum,22835,Francesco Alfieri,Capaccesi,"Cafasso/Borgo Nuovo, Capaccio Scalo, Capo di Fiume, Gromola/Foce Sele, Laura, Paestum, Ponte Barizzo, Rettifilo/Vannulo, Scigliati, Spinazzo/Varco Cilentano, Santa Venere, Seude, Torre/Licinella, Vuccolo Maiorano",84047,112.0,14,"Il nome del luogo, originariamente Calpatium o ""caput aquis"" su cui sorge in tempi moderni Capaccio Vecchia, nei pressi del santuario della Madonna del Granato, prende origine dal latino Caput Aquae (origine dell'acqua).","Storia. Il nome del luogo, originariamente Calpatium o ""caput aquis"" su cui sorge in tempi moderni Capaccio Vecchia, nei pressi del santuario della Madonna del Granato, prende origine dal latino Caput Aquae (origine dell'acqua). La Capaccio moderna viene menzionata per la prima volta in documento del 1051.",San Vito,Medievale,919.0,X,39.0,11.0,20.0,"Trekking: Capaccio Scalo, Percorso fiume calore",Sagra del Carciofo,http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/72a94e3b-3deb-4a86-9e99-c4b593755acd.jpg,https://www.comune.capaccio.sa.it/ https://it.wikipedia.org/wiki/Capaccio_Paestum https://it.wikiloc.com/percorsi/outdoor/italia/campania/capaccio-scalo,Giugno,15,40.432580085486826,15.078673041889221
Casal Velino,5258,Silvia Pisapia,"Casalvelinesi, Casalicchiari","Acquavella, Bivio di Acquavella, Casal Velino Marina, Vallo Scalo, Verduzio",84040,31.71,5,"Il toponimo attuale deriva dal latino “casalis litus”, ossia casale del porto. Il paese è appartenuto alla circoscrizione della Badia di Cava de'Tirreni dal 1410 al 1973, per passare a quella di Vallo della Lucania.",Il suo antico nome è stato Casalicchio fino al 1893. Le prime notizie storiche circa la sua fondazione risalgono intorno all'anno Mille. I primi abitanti furono monaci basiliani e si stanziarono nell'odierna frazione Marina.,San Biagio di Sebaste,Moderna,1893.0,XIX,62.0,51.0,10.0,"Marina di Casal Velino-Santa Barbara-Ascea, Marina di Casal Velino - Foce, Chiesa Parrocchiale di S. Matteo to 84070 Rutino SA, Marina di Casal Velino, Marina di Casal Velino.","Festa della Cipolla di Vatolla, Panza e Danza, Sagra del cavatiello, Sagra dei Fiuriddi e Ruspitieddi.",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/cbb6edc1-6bd1-4c55-838a-5ab867e1e403.jpeg,http://aziende.tuttosuitalia.com/campania/salerno/casal-velino/ https://www.tuttitalia.it/campania/28-casal-velino/25-scuole/ https://it.wikipedia.org/wiki/Casal_Velino https://www.comune.casalvelino.sa.it/ https://it.wikiloc.com/percorsi/outdoor/italia/campania/marina-di-casal-velino,Febbraio,3,40.19498019383228,15.11134645921635
Casalbuono,1176,Carmine Adinolfi,Casalbuonesi,Vallonsecco,84030,34.82,1,,"Casalbuono è l'ultimo comune del comprensorio del Vallo di Diano. Il villaggio fu fondato dai profughi del centro romano di Caesariana a Montesano, messa a sacco dai Saraceni nel 915. La storia di Casalbuono è legata anche al passaggio di Carlo Pisacane e dei Trecento.",Sant'Antero,Medievale,915.0,X,26.0,13.0,11.0,"Trekking: Percorso naturalistico IPPOVIA, Cerreta","Sagra ri Fasul, Sagra del Cinghiale",http://spod.databenc.it/ethersheet/images/0ce0ef19-b749-4ab9-bd7b-983c1a02586e/5a14e858-c329-4a93-891f-193ef7c65118.jpeg,https://www.portaleabruzzo.com/campania/97-casalbuono/ https://it.wikipedia.org/wiki/Casalbuono https://www.paesionline.it/italia/itinerari-ed-escursioni-casalbuono http://www.valloweb.com/eventi_comune.php?id_comune=6&Casalbuono,Gennaio,3,40.221182483867025,15.68423296058002
